,Time,SunDist,EarthDist,Phase
0,212371502400.0000000000000000,4057683077199.7998046875000000,18509146208460.9921875000000000,0.4747016312744257
1,212371524000.0000000000000000,4013057152132.6000976562500000,18448289529359.1250000000000000,0.4845959028039816
2,212371545600.0000000000000000,3972579045140.1997070312500000,18384688135194.5664062500000000,0.4971971800033806
3,212371567200.0000000000000000,3936416189161.6005859375000000,18318293090329.8710937500000000,0.5124705562875831
4,212371588800.0000000000000000,3904724733827.6997070312500000,18249065969791.4062500000000000,0.5303252745354851
5,212371610400.0000000000000000,3877646871224.1997070312500000,18176980022831.1054687500000000,0.5506217084069270
6,212371632000.0000000000000000,3855308229166.3999023437500000,18102021180857.7851562500000000,0.5731870703059617
7,212371653600.0000000000000000,3837815430176.8999023437500000,18024188858837.4023437500000000,0.5978136660516018
8,212371675200.0000000000000000,3825253917218.0000000000000000,17943496504232.4335937500000000,0.6242815841580958
9,212371696800.0000000000000000,3817686142596.7001953125000000,17859971856327.1289062500000000,0.6523534598471725
10,212371718400.0000000000000000,3815150205270.2998046875000000,17773656891063.1171875000000000,0.6817954189990649
11,212371740000.0000000000000000,3817659003245.0000000000000000,17684607441458.4492187500000000,0.7123683515062496
12,212371761600.0000000000000000,3825199943800.6997070312500000,17592892500115.8281250000000000,0.7438471098952193
13,212371783200.0000000000000000,3837735226382.3999023437500000,17498593226849.3613281250000000,0.7760082920217188
14,212371804800.0000000000000000,3855202683466.8002929687500000,17401801699481.8339843750000000,0.8086476943632647
15,212371826400.0000000000000000,3877517137445.7001953125000000,17302619458119.1796875000000000,0.8415715853728858
16,212371848000.0000000000000000,3904572206654.9995117187500000,17201155901619.0253906250000000,0.8746036867961304
17,212371869600.0000000000000000,3936242475947.1000976562500000,17097526598980.9980468750000000,0.9075816830125633
18,212371891200.0000000000000000,3972385934956.7001953125000000,16991851577993.6718750000000000,0.9403624570235208
19,212371912800.0000000000000000,4012846583514.7998046875000000,16884253649087.9667968750000000,0.9728203451228594
20,212371934400.0000000000000000,4057457105677.1997070312500000,16774856814750.5312500000000000,1.0048419009091993
21,212371956000.0000000000000000,4106041522296.9995117187500000,16663784805157.3925781250000000,1.0363328766029329
22,212371977600.0000000000000000,4158417744586.6000976562500000,16551159769832.8417968750000000,1.0672129870584688
23,212371999200.0000000000000000,4214399965835.8999023437500000,16437101144280.6152343750000000,1.0974159097642306
24,212372020800.0000000000000000,4273800845245.7001953125000000,16321724700378.8886718750000000,1.1268910301719108
