,Time,SunDist,EarthDist,Phase
0,212368997399.9999694824218750,15098546120342.4003906250000000,19754785718708.2773437500000000,0.8582080638028957
1,212368997700.0000305175781250,15097223278316.7988281250000000,19754726156655.5976562500000000,0.8582220264369117
2,212368998000.0000000000000000,15095900413330.2988281250000000,19754666621602.9062500000000000,0.8582377344001797
3,212368998300.0000000000000000,15094577525412.6992187500000000,19754607113542.1640625000000000,0.8582516970341956
4,212368998599.9999694824218750,15093254614519.2988281250000000,19754547632465.7695312500000000,0.8582674049974636
5,212368998900.0000305175781250,15091931680679.8984375000000000,19754488178365.9726562500000000,0.8582813676314794
6,212368999200.0000305175781250,15090608723894.5000000000000000,19754428751235.0273437500000000,0.8582970755947474
7,212368999500.0000000000000000,15089285744133.2988281250000000,19754369351065.3359375000000000,0.8583110382287634
8,212368999799.9999694824218750,15087962741426.0996093750000000,19754309977848.8476562500000000,0.8583267461920313
9,212369000099.9999694824218750,15086639715743.0996093750000000,19754250631577.9687500000000000,0.8583407088260473
10,212369000400.0000305175781250,15085316667099.1992187500000000,19754191312245.0937500000000000,0.8583564167893153
11,212369000700.0000000000000000,15083993595509.2988281250000000,19754132019842.1875000000000000,0.8583703794233312
12,212369001000.0000000000000000,15082670500928.7011718750000000,19754072754361.6406250000000000,0.8583860873865992
13,212369001299.9999694824218750,15081347383402.1015625000000000,19754013515795.7109375000000000,0.8584000500206150
14,212369001600.0000305175781250,15080024242884.7988281250000000,19753954304136.6445312500000000,0.8584140126546311
15,212369001900.0000305175781250,15078701079421.5000000000000000,19753895119376.6953125000000000,0.8584297206178990
16,212369002200.0000000000000000,15077377892967.5000000000000000,19753835961507.9726562500000000,0.8584436832519150
17,212369002499.9999694824218750,15076054683552.5996093750000000,19753776830523.0195312500000000,0.8584593912151830
18,212369002799.9999694824218750,15074731451147.0000000000000000,19753717726413.6445312500000000,0.8584733538491989
19,212369003100.0000305175781250,15073408195780.5000000000000000,19753658649172.5468750000000000,0.8584890618124669
20,212369003400.0000000000000000,15072084917423.3007812500000000,19753599598791.5273437500000000,0.8585030244464829
21,212369003700.0000000000000000,15070761616105.1992187500000000,19753540575263.1406250000000000,0.8585187324097507
22,212369003999.9999694824218750,15069438291781.5000000000000000,19753481578579.4882812500000000,0.8585326950437667
23,212369004300.0000305175781250,15068114944496.9003906250000000,19753422608732.8242187500000000,0.8585484030070347
24,212369004600.0000305175781250,15066791574221.5996093750000000,19753363665715.2460937500000000,0.8585623656410506
25,212369004900.0000000000000000,15065468180955.6015625000000000,19753304749519.3046875000000000,0.8585763282750665
26,212369005199.9999694824218750,15064144764713.7988281250000000,19753245860136.9570312500000000,0.8585920362383345
27,212369005499.9999694824218750,15062821325466.3984375000000000,19753186997560.6093750000000000,0.8586059988723505
28,212369005800.0000305175781250,15061497863243.2011718750000000,19753128161782.3515625000000000,0.8586217068356183
29,212369006100.0000000000000000,15060174378029.3007812500000000,19753069352794.4453125000000000,0.8586356694696343
30,212369006400.0000000000000000,15058850869809.8007812500000000,19753010570589.1406250000000000,0.8586513774329023
31,212369006699.9999694824218750,15057527338599.6015625000000000,19752951815158.6914062500000000,0.8586653400669182
32,212369007000.0000305175781250,15056203784398.7011718750000000,19752893086495.1953125000000000,0.8586793027009343
33,212369007300.0000305175781250,15054880207207.0996093750000000,19752834384591.0546875000000000,0.8586950106642021
34,212369007600.0000000000000000,15053556607009.9003906250000000,19752775709438.3750000000000000,0.8587089732982182
35,212369007899.9999694824218750,15052232983807.1015625000000000,19752717061029.4062500000000000,0.8587246812614862
36,212369008199.9999694824218750,15050909337613.5996093750000000,19752658439356.2539062500000000,0.8587386438955020
37,212369008500.0000305175781250,15049585668399.6015625000000000,19752599844411.3203125000000000,0.8587526065295180
38,212369008800.0000000000000000,15048261976194.9023437500000000,19752541276186.8515625000000000,0.8587683144927859
39,212369009100.0000000000000000,15046938260984.6015625000000000,19752482734674.8085937500000000,0.8587822771268019
40,212369009399.9999694824218750,15045614522753.8007812500000000,19752424219867.5820312500000000,0.8587979850900699
41,212369009700.0000305175781250,15044290761532.3007812500000000,19752365731757.4335937500000000,0.8588119477240858
42,212369010000.0000305175781250,15042966977290.2988281250000000,19752307270336.3164062500000000,0.8588259103581016
43,212369010300.0000000000000000,15041643170027.8007812500000000,19752248835596.7734375000000000,0.8588416183213696
44,212369010599.9999694824218750,15040319339759.7011718750000000,19752190427530.7695312500000000,0.8588555809553856
45,212369010899.9999694824218750,15038995486471.0996093750000000,19752132046130.6953125000000000,0.8588695435894016
46,212369011200.0000305175781250,15037671610176.9003906250000000,19752073691388.6601562500000000,0.8588852515526696
47,212369011500.0000000000000000,15036347710862.1992187500000000,19752015363296.7617187500000000,0.8588992141866855
48,212369011800.0000000000000000,15035023788527.0000000000000000,19751957061847.4101562500000000,0.8589149221499535
49,212369012099.9999694824218750,15033699843156.3984375000000000,19751898787032.6992187500000000,0.8589288847839694
50,212369012400.0000305175781250,15032375874780.1992187500000000,19751840538844.8828125000000000,0.8589428474179853
51,212369012700.0000305175781250,15031051883368.5996093750000000,19751782317276.0664062500000000,0.8589585553812533
52,212369013000.0000000000000000,15029727868936.5000000000000000,19751724122318.5000000000000000,0.8589725180152692
53,212369013299.9999694824218750,15028403831483.9003906250000000,19751665953964.4414062500000000,0.8589864806492852
54,212369013599.9999694824218750,15027079770995.9003906250000000,19751607812205.9843750000000000,0.8590021886125532
55,212369013900.0000305175781250,15025755687472.5000000000000000,19751549697035.5351562500000000,0.8590161512465692
56,212369014200.0000000000000000,15024431580928.5996093750000000,19751491608444.8984375000000000,0.8590301138805851
57,212369014500.0000000000000000,15023107451334.3984375000000000,19751433546426.6210937500000000,0.8590458218438530
58,212369014799.9999694824218750,15021783298719.7011718750000000,19751375510972.8125000000000000,0.8590597844778690
59,212369015100.0000305175781250,15020459123069.5996093750000000,19751317502075.5703125000000000,0.8590737471118849
60,212369015400.0000305175781250,15019134924384.0996093750000000,19751259519727.2968750000000000,0.8590894550751529
61,212369015700.0000000000000000,15017810702648.3007812500000000,19751201563919.7968750000000000,0.8591034177091689
62,212369015999.9999694824218750,15016486457877.1015625000000000,19751143634645.6250000000000000,0.8591173803431847
63,212369016299.9999694824218750,15015162190070.4980468750000000,19751085731896.8750000000000000,0.8591313429772007
64,212369016600.0000305175781250,15013837899213.5976562500000000,19751027855665.5117187500000000,0.8591470509404686
65,212369016900.0000000000000000,15012513585306.4003906250000000,19750970005944.0742187500000000,0.8591610135744847
66,212369017200.0000000000000000,15011189248363.8007812500000000,19750912182724.5234375000000000,0.8591749762085006
67,212369017499.9999694824218750,15009864888356.0000000000000000,19750854385999.1093750000000000,0.8591906841717686
68,212369017800.0000305175781250,15008540505312.7988281250000000,19750796615759.9335937500000000,0.8592046468057845
69,212369018100.0000305175781250,15007216099219.3007812500000000,19750738871999.2539062500000000,0.8592186094398004
70,212369018400.0000000000000000,15005891670075.5000000000000000,19750681154709.1640625000000000,0.8592343174030684
71,212369018699.9999694824218750,15004567217866.5019531250000000,19750623463881.9257812500000000,0.8592482800370843
72,212369018999.9999694824218750,15003242742607.2011718750000000,19750565799509.7812500000000000,0.8592622426711004
73,212369019300.0000305175781250,15001918244297.5976562500000000,19750508161584.8437500000000000,0.8592762053051163
74,212369019600.0000000000000000,15000593722922.8007812500000000,19750450550099.0625000000000000,0.8592919132683843
75,212369019900.0000000000000000,14999269178482.8007812500000000,19750392965044.9843750000000000,0.8593058759024002
76,212369020199.9999694824218750,14997944610992.4980468750000000,19750335406414.5664062500000000,0.8593198385364161
77,212369020500.0000305175781250,14996620020437.0000000000000000,19750277874200.0625000000000000,0.8593338011704320
78,212369020800.0000305175781250,14995295406816.3007812500000000,19750220368393.5742187500000000,0.8593495091337000
79,212369021100.0000000000000000,14993970770130.4003906250000000,19750162888987.2031250000000000,0.8593634717677160
80,212369021399.9999694824218750,14992646110364.4003906250000000,19750105435973.3476562500000000,0.8593774344017320
81,212369021699.9999694824218750,14991321427548.0996093750000000,19750048009343.8164062500000000,0.8593913970357479
82,212369022000.0000305175781250,14989996721651.7011718750000000,19749990609091.1640625000000000,0.8594071049990158
83,212369022300.0000000000000000,14988671992690.0996093750000000,19749933235207.3359375000000000,0.8594210676330318
84,212369022600.0000000000000000,14987347240648.3984375000000000,19749875887684.5898437500000000,0.8594350302670477
85,212369022899.9999694824218750,14986022465541.5019531250000000,19749818566514.8750000000000000,0.8594489929010638
86,212369023200.0000305175781250,14984697667339.6015625000000000,19749761271690.5976562500000000,0.8594647008643316
87,212369023500.0000305175781250,14983372846072.5000000000000000,19749704003203.8593750000000000,0.8594786634983477
88,212369023800.0000000000000000,14982048001725.3007812500000000,19749646761046.7617187500000000,0.8594926261323635
89,212369024099.9999694824218750,14980723134298.0000000000000000,19749589545211.5507812500000000,0.8595065887663795
90,212369024399.9999694824218750,14979398243790.5996093750000000,19749532355690.1953125000000000,0.8595222967296474
91,212369024700.0000305175781250,14978073330203.1015625000000000,19749475192475.0820312500000000,0.8595362593636634
92,212369025000.0000000000000000,14976748393520.5976562500000000,19749418055558.1718750000000000,0.8595502219976794
93,212369025300.0000000000000000,14975423433758.0019531250000000,19749360944931.5703125000000000,0.8595641846316954
94,212369025599.9999694824218750,14974098450900.3984375000000000,19749303860587.6718750000000000,0.8595781472657112
95,212369025900.0000305175781250,14972773444962.6992187500000000,19749246802518.5859375000000000,0.8595938552289792
96,212369026200.0000305175781250,14971448415930.0019531250000000,19749189770716.2578125000000000,0.8596078178629952
97,212369026500.0000000000000000,14970123363802.3007812500000000,19749132765172.9492187500000000,0.8596217804970111
98,212369026799.9999694824218750,14968798288594.5000000000000000,19749075785880.9023437500000000,0.8596357431310272
99,212369027099.9999694824218750,14967473190276.8007812500000000,19749018832832.0820312500000000,0.8596497057650431
100,212369027400.0000305175781250,14966148068864.1015625000000000,19748961906018.7304687500000000,0.8596636683990589
101,212369027700.0000000000000000,14964822924356.4003906250000000,19748905005432.9570312500000000,0.8596793763623269
102,212369028000.0000000000000000,14963497756738.7988281250000000,19748848131066.8593750000000000,0.8596933389963429
103,212369028299.9999694824218750,14962172566026.1992187500000000,19748791282912.6992187500000000,0.8597073016303588
104,212369028600.0000305175781250,14960847352218.6015625000000000,19748734460962.5664062500000000,0.8597212642643749
105,212369028900.0000305175781250,14959522115301.0996093750000000,19748677665208.5742187500000000,0.8597352268983908
106,212369029200.0000000000000000,14958196855273.7011718750000000,19748620895642.8203125000000000,0.8597491895324068
107,212369029499.9999694824218750,14956871572151.3007812500000000,19748564152257.4101562500000000,0.8597648974956746
108,212369029799.9999694824218750,14955546265904.0996093750000000,19748507435044.7421875000000000,0.8597788601296906
109,212369030100.0000305175781250,14954220936561.9003906250000000,19748450743996.6289062500000000,0.8597928227637066
110,212369030400.0000000000000000,14952895584094.8984375000000000,19748394079105.3125000000000000,0.8598067853977226
111,212369030700.0000000000000000,14951570208518.0019531250000000,19748337440363.0468750000000000,0.8598207480317385
112,212369030999.9999694824218750,14950244809831.2011718750000000,19748280827761.6406250000000000,0.8598347106657545
113,212369031300.0000305175781250,14948919388034.5000000000000000,19748224241293.6445312500000000,0.8598504186290223
114,212369031600.0000305175781250,14947593943113.0000000000000000,19748167680950.8632812500000000,0.8598643812630383
115,212369031900.0000000000000000,14946268475066.7011718750000000,19748111146725.5468750000000000,0.8598783438970543
116,212369032199.9999694824218750,14944942983910.5000000000000000,19748054638609.7929687500000000,0.8598923065310703
117,212369032499.9999694824218750,14943617469614.6015625000000000,19747998156595.7148437500000000,0.8599062691650862
118,212369032800.0000305175781250,14942291932208.7988281250000000,19747941700675.4062500000000000,0.8599202317991022
119,212369033100.0000000000000000,14940966371678.1992187500000000,19747885270841.1250000000000000,0.8599341944331181
120,212369033400.0000000000000000,14939640788022.8007812500000000,19747828867084.8281250000000000,0.8599481570671341
121,212369033699.9999694824218750,14938315181242.5996093750000000,19747772489398.6093750000000000,0.8599621197011500
122,212369034000.0000305175781250,14936989551322.7011718750000000,19747716137774.8750000000000000,0.8599778276644180
123,212369034300.0000305175781250,14935663898278.0019531250000000,19747659812205.4335937500000000,0.8599917902984339
124,212369034600.0000000000000000,14934338222093.5996093750000000,19747603512682.3828125000000000,0.8600057529324500
125,212369034899.9999694824218750,14933012522784.4003906250000000,19747547239198.1210937500000000,0.8600197155664658
126,212369035199.9999694824218750,14931686800335.5019531250000000,19747490991744.4609375000000000,0.8600336782004818
127,212369035500.0000305175781250,14930361054761.8007812500000000,19747434770313.6523437500000000,0.8600476408344977
128,212369035800.0000000000000000,14929035286033.4980468750000000,19747378574897.9414062500000000,0.8600616034685138
129,212369036100.0000000000000000,14927709494165.5000000000000000,19747322405489.1406250000000000,0.8600755661025297
130,212369036399.9999694824218750,14926383679172.7011718750000000,19747266262079.4960937500000000,0.8600895287365456
131,212369036700.0000305175781250,14925057841025.2988281250000000,19747210144661.1171875000000000,0.8601034913705615
132,212369037000.0000305175781250,14923731979738.1992187500000000,19747154053226.2460937500000000,0.8601174540045776
133,212369037300.0000000000000000,14922406095296.5000000000000000,19747097987766.6992187500000000,0.8601331619678454
134,212369037599.9999694824218750,14921080187715.0976562500000000,19747041948274.7226562500000000,0.8601471246018615
135,212369037899.9999694824218750,14919754256994.0000000000000000,19746985934742.5703125000000000,0.8601610872358774
136,212369038200.0000305175781250,14918428303118.2988281250000000,19746929947162.0429687500000000,0.8601750498698933
137,212369038500.0000000000000000,14917102326073.1015625000000000,19746873985525.3945312500000000,0.8601890125039093
138,212369038800.0000000000000000,14915776325903.0996093750000000,19746818049824.7343750000000000,0.8602029751379253
139,212369039099.9999694824218750,14914450302563.5996093750000000,19746762140052.1562500000000000,0.8602169377719412
140,212369039400.0000305175781250,14913124256069.5019531250000000,19746706256199.7695312500000000,0.8602309004059572
141,212369039700.0000305175781250,14911798186420.8007812500000000,19746650398259.5234375000000000,0.8602448630399732
142,212369040000.0000000000000000,14910472093602.5996093750000000,19746594566223.6757812500000000,0.8602588256739891
143,212369040299.9999694824218750,14909145977629.7988281250000000,19746538760084.3242187500000000,0.8602727883080050
144,212369040599.9999694824218750,14907819838502.4003906250000000,19746482979833.2734375000000000,0.8602867509420209
145,212369040900.0000305175781250,14906493676205.5019531250000000,19746427225463.0781250000000000,0.8603007135760370
146,212369041200.0000000000000000,14905167490754.0000000000000000,19746371496965.3906250000000000,0.8603146762100529
147,212369041500.0000000000000000,14903841282133.0019531250000000,19746315794332.6132812500000000,0.8603286388440688
148,212369041799.9999694824218750,14902515050342.5000000000000000,19746260117556.5507812500000000,0.8603426014780847
149,212369042100.0000305175781250,14901188795382.5000000000000000,19746204466629.4570312500000000,0.8603565641121008
150,212369042400.0000305175781250,14899862517253.0000000000000000,19746148841543.4335937500000000,0.8603705267461167
151,212369042700.0000000000000000,14898536215939.0996093750000000,19746093242290.5781250000000000,0.8603844893801327
152,212369042999.9999694824218750,14897209891470.5996093750000000,19746037668862.8515625000000000,0.8603984520141486
153,212369043299.9999694824218750,14895883543817.6992187500000000,19745982121252.3593750000000000,0.8604124146481646
154,212369043600.0000305175781250,14894557172995.2988281250000000,19745926599451.1992187500000000,0.8604263772821805
155,212369043900.0000000000000000,14893230778988.5000000000000000,19745871103451.4726562500000000,0.8604403399161965
156,212369044200.0000000000000000,14891904361797.3007812500000000,19745815633245.1367187500000000,0.8604543025502125
157,212369044499.9999694824218750,14890577921436.6015625000000000,19745760188824.4414062500000000,0.8604682651842285
158,212369044800.0000305175781250,14889251457891.5000000000000000,19745704770181.4921875000000000,0.8604822278182443
159,212369045100.0000305175781250,14887924971162.0000000000000000,19745649377308.0937500000000000,0.8604961904522602
