,Time,SunDist,EarthDist,Phase
0,212380920599.9999694824218750,40325526278621.1015625000000000,39422686092154.8125000000000000,0.3689608585423493
1,212380920900.0000305175781250,40326597058836.7031250000000000,39424617507010.0546875000000000,0.3689486412375853
2,212380921200.0000000000000000,40327667833300.8984375000000000,39426548911389.2578125000000000,0.3689364239328213
3,212380921500.0000000000000000,40328738602028.6015625000000000,39428480305290.3359375000000000,0.3689224612988053
4,212380921799.9999694824218750,40329809365034.6953125000000000,39430411688710.6015625000000000,0.3689102439940414
5,212380922100.0000305175781250,40330880122289.3984375000000000,39432343061649.3125000000000000,0.3688980266892775
6,212380922400.0000305175781250,40331950873807.6015625000000000,39434274424103.7890625000000000,0.3688840640552615
7,212380922700.0000000000000000,40333021619604.2031250000000000,39436205776071.9375000000000000,0.3688718467504976
8,212380922999.9999694824218750,40334092359649.4062500000000000,39438137117551.6875000000000000,0.3688596294457336
9,212380923299.9999694824218750,40335163093973.0000000000000000,39440068448540.9375000000000000,0.3688456668117176
10,212380923600.0000305175781250,40336233822545.2031250000000000,39441999769037.0156250000000000,0.3688334495069537
11,212380923900.0000000000000000,40337304545395.7968750000000000,39443931079039.1640625000000000,0.3688194868729377
12,212380924200.0000000000000000,40338375262509.9062500000000000,39445862378544.5703125000000000,0.3688072695681738
13,212380924499.9999694824218750,40339445973887.5000000000000000,39447793667551.2890625000000000,0.3687950522634099
14,212380924800.0000305175781250,40340516679528.6015625000000000,39449724946057.2265625000000000,0.3687810896293939
15,212380925100.0000305175781250,40341587379448.1015625000000000,39451656214060.4531250000000000,0.3687688723246299
16,212380925400.0000000000000000,40342658073616.1953125000000000,39453587471558.5781250000000000,0.3687566550198659
17,212380925699.9999694824218750,40343728762062.6953125000000000,39455518718549.0859375000000000,0.3687426923858500
18,212380925999.9999694824218750,40344799444772.7031250000000000,39457449955031.2109375000000000,0.3687304750810860
19,212380926300.0000305175781250,40345870121746.2031250000000000,39459381181002.2890625000000000,0.3687182577763221
20,212380926600.0000000000000000,40346940792998.1015625000000000,39461312396460.2109375000000000,0.3687042951423061
21,212380926900.0000000000000000,40348011458513.5000000000000000,39463243601402.9218750000000000,0.3686920778375422
22,212380927199.9999694824218750,40349082118292.3984375000000000,39465174795828.3046875000000000,0.3686798605327782
23,212380927500.0000305175781250,40350152772334.7968750000000000,39467105979733.5468750000000000,0.3686658978987623
24,212380927800.0000305175781250,40351223420655.6015625000000000,39469037153118.2031250000000000,0.3686536805939983
25,212380928100.0000000000000000,40352294063239.8984375000000000,39470968315979.4296875000000000,0.3686414632892343
26,212380928399.9999694824218750,40353364700102.6015625000000000,39472899468315.1484375000000000,0.3686275006552183
27,212380928699.9999694824218750,40354435331228.8046875000000000,39474830610123.1171875000000000,0.3686152833504544
28,212380929000.0000305175781250,40355505956618.5000000000000000,39476761741401.5625000000000000,0.3686030660456904
29,212380929300.0000000000000000,40356576576286.6015625000000000,39478692862147.4921875000000000,0.3685891034116745
