,Time,SunDist,EarthDist,Phase
0,212363640599.9999694824218750,36266008015684.1015625000000000,29269616606862.9687500000000000,0.4144493748370775
1,212363640900.0000305175781250,36264913694198.6015625000000000,29268549914692.1250000000000000,0.4144650828003454
2,212363641200.0000000000000000,36263819365829.2968750000000000,29267483273242.6718750000000000,0.4144790454343614
3,212363641500.0000000000000000,36262725030576.2031250000000000,29266416682517.4375000000000000,0.4144930080683774
4,212363641799.9999694824218750,36261630688439.2968750000000000,29265350142520.1484375000000000,0.4145087160316453
5,212363642100.0000305175781250,36260536339403.6953125000000000,29264283653253.3320312500000000,0.4145226786656612
6,212363642400.0000305175781250,36259441983484.3046875000000000,29263217214720.1250000000000000,0.4145383866289292
7,212363642700.0000000000000000,36258347620681.0937500000000000,29262150826923.0546875000000000,0.4145523492629452
8,212363642999.9999694824218750,36257253250979.2031250000000000,29261084489866.0000000000000000,0.4145680572262131
9,212363643299.9999694824218750,36256158874393.5000000000000000,29260018203551.3398437500000000,0.4145820198602290
10,212363643600.0000305175781250,36255064490909.1015625000000000,29258951967982.5039062500000000,0.4145959824942450
11,212363643900.0000000000000000,36253970100540.8984375000000000,29257885783161.7265625000000000,0.4146116904575130
12,212363644200.0000000000000000,36252875703274.0000000000000000,29256819649092.8867187500000000,0.4146256530915289
13,212363644499.9999694824218750,36251781299123.2968750000000000,29255753565778.8046875000000000,0.4146413610547969
14,212363644800.0000305175781250,36250686888073.8984375000000000,29254687533222.1718750000000000,0.4146553236888128
15,212363645100.0000305175781250,36249592470140.7031250000000000,29253621551425.8164062500000000,0.4146710316520807
16,212363645400.0000000000000000,36248498045308.7968750000000000,29252555620393.4648437500000000,0.4146849942860967
17,212363645699.9999694824218750,36247403613578.1953125000000000,29251489740127.7968750000000000,0.4146989569201127
18,212363645999.9999694824218750,36246309174963.8046875000000000,29250423910631.6367187500000000,0.4147146648833806
19,212363646300.0000305175781250,36245214729450.7031250000000000,29249358131907.8320312500000000,0.4147286275173966
20,212363646600.0000000000000000,36244120277053.7968750000000000,29248292403960.0937500000000000,0.4147443354806645
21,212363646900.0000000000000000,36243025817758.2031250000000000,29247226726790.9609375000000000,0.4147582981146805
22,212363647199.9999694824218750,36241931351549.0000000000000000,29246161100403.4062500000000000,0.4147740060779485
23,212363647500.0000305175781250,36240836878470.8984375000000000,29245095524800.1250000000000000,0.4147879687119644
24,212363647800.0000305175781250,36239742398479.2031250000000000,29244029999984.9804687500000000,0.4148019313459804
25,212363648100.0000000000000000,36238647911603.7031250000000000,29242964525960.5078125000000000,0.4148176393092483
26,212363648399.9999694824218750,36237553417814.6015625000000000,29241899102729.8398437500000000,0.4148316019432642
27,212363648699.9999694824218750,36236458917141.7031250000000000,29240833730295.2070312500000000,0.4148473099065322
28,212363649000.0000305175781250,36235364409570.0937500000000000,29239768408660.9335937500000000,0.4148612725405482
29,212363649300.0000000000000000,36234269895114.7031250000000000,29238703137829.2539062500000000,0.4148769805038161
30,212363649600.0000000000000000,36233175373745.7031250000000000,29237637917803.2968750000000000,0.4148909431378320
31,212363649899.9999694824218750,36232080845478.0000000000000000,29236572748585.5898437500000000,0.4149066511011000
32,212363650200.0000305175781250,36230986310311.6015625000000000,29235507630180.0156250000000000,0.4149206137351160
33,212363650500.0000305175781250,36229891768246.5000000000000000,29234442562589.2500000000000000,0.4149345763691319
34,212363650800.0000000000000000,36228797219297.6015625000000000,29233377545816.2773437500000000,0.4149502843323998
35,212363651099.9999694824218750,36227702663435.1015625000000000,29232312579863.4804687500000000,0.4149642469664158
36,212363651399.9999694824218750,36226608100673.8984375000000000,29231247664735.0273437500000000,0.4149799549296838
37,212363651700.0000305175781250,36225513531014.0000000000000000,29230182800433.1601562500000000,0.4149939175636997
38,212363652000.0000000000000000,36224418954455.3984375000000000,29229117986961.1484375000000000,0.4150096255269677
39,212363652300.0000000000000000,36223324370998.1015625000000000,29228053224321.5351562500000000,0.4150235881609836
40,212363652599.9999694824218750,36222229780627.2031250000000000,29226988512518.0351562500000000,0.4150392961242516
41,212363652900.0000305175781250,36221135183372.5000000000000000,29225923851553.3398437500000000,0.4150532587582675
42,212363653200.0000305175781250,36220040579204.1953125000000000,29224859241430.4218750000000000,0.4150672213922835
43,212363653500.0000000000000000,36218945968137.2031250000000000,29223794682151.9648437500000000,0.4150829293555514
44,212363653799.9999694824218750,36217851350156.6015625000000000,29222730173721.6992187500000000,0.4150968919895674
45,212363654099.9999694824218750,36216756725292.2031250000000000,29221665716142.1484375000000000,0.4151125999528353
46,212363654400.0000305175781250,36215662093514.1953125000000000,29220601309416.5937500000000000,0.4151265625868513
