,Time,SunDist,EarthDist,Phase
0,212375606999.9999694824218750,20092020811591.0000000000000000,5668103470939.2900390625000000,0.3199572491341045
1,212375607300.0000305175781250,20093266177445.9023437500000000,5669775127942.1738281250000000,0.3200654595477281
2,212375607600.0000000000000000,20094511526299.8984375000000000,5671446907997.7509765625000000,0.3201736699613518
3,212375607900.0000000000000000,20095756858153.0000000000000000,5673118811012.7470703125000000,0.3202818803749754
4,212375608199.9999694824218750,20097002173005.2031250000000000,5674790836892.3974609375000000,0.3203900907885990
5,212375608500.0000305175781250,20098247470841.6015625000000000,5676462985544.0253906250000000,0.3204965558729707
6,212375608800.0000305175781250,20099492751692.0000000000000000,5678135256874.9531250000000000,0.3206047662865943
7,212375609100.0000000000000000,20100738015541.5000000000000000,5679807650790.5634765625000000,0.3207129767002180
8,212375609399.9999694824218750,20101983262390.1015625000000000,5681480167198.3300781250000000,0.3208194417845897
9,212375609699.9999694824218750,20103228492237.8007812500000000,5683152806005.5732421875000000,0.3209276521982133
10,212375610000.0000305175781250,20104473705099.5000000000000000,5684825567119.6152343750000000,0.3210358626118370
11,212375610300.0000000000000000,20105718900975.2031250000000000,5686498450446.5859375000000000,0.3211423276962086
12,212375610600.0000000000000000,20106964079835.1015625000000000,5688171455894.4042968750000000,0.3212505381098323
13,212375610899.9999694824218750,20108209241723.8984375000000000,5689844583371.1357421875000000,0.3213570031942040
14,212375611200.0000305175781250,20109454386626.6992187500000000,5691517832782.9121093750000000,0.3214634682785756
15,212375611500.0000305175781250,20110699514528.6015625000000000,5693191204037.7988281250000000,0.3215716786921993
16,212375611800.0000000000000000,20111944625444.5000000000000000,5694864697043.8642578125000000,0.3216781437765709
17,212375612099.9999694824218750,20113189719389.3007812500000000,5696538311709.3232421875000000,0.3217846088609426
18,212375612399.9999694824218750,20114434796333.1992187500000000,5698212047940.6044921875000000,0.3218928192745662
19,212375612700.0000305175781250,20115679856306.0000000000000000,5699885905646.6679687500000000,0.3219992843589379
20,212375613000.0000000000000000,20116924899292.8007812500000000,5701559884736.1787109375000000,0.3221057494433095
21,212375613300.0000000000000000,20118169925308.5000000000000000,5703233985115.8603515625000000,0.3222122145276812
22,212375613599.9999694824218750,20119414934338.1992187500000000,5704908206694.8232421875000000,0.3223186796120528
23,212375613900.0000305175781250,20120659926381.9023437500000000,5706582549381.4345703125000000,0.3224251446964245
24,212375614200.0000305175781250,20121904901469.4023437500000000,5708257013084.6542968750000000,0.3225316097807961
25,212375614500.0000000000000000,20123149859570.9023437500000000,5709931597711.9511718750000000,0.3226380748651678
26,212375614799.9999694824218750,20124394800701.3007812500000000,5711606303172.7373046875000000,0.3227445399495394
27,212375615099.9999694824218750,20125639724860.5976562500000000,5713281129376.1191406250000000,0.3228510050339111
28,212375615400.0000305175781250,20126884632048.8007812500000000,5714956076230.0156250000000000,0.3229574701182827
29,212375615700.0000000000000000,20128129522280.8007812500000000,5716631143643.8359375000000000,0.3230639352026544
30,212375616000.0000000000000000,20129374395526.8007812500000000,5718306331526.6894531250000000,0.3231704002870260
31,212375616299.9999694824218750,20130619251816.6015625000000000,5719981639788.5791015625000000,0.3232751200421457
32,212375616600.0000305175781250,20131864091150.2031250000000000,5721657068337.2744140625000000,0.3233815851265174
33,212375616900.0000305175781250,20133108913497.8007812500000000,5723332617082.9296875000000000,0.3234880502108891
34,212375617200.0000000000000000,20134353718904.1015625000000000,5725008285935.5478515625000000,0.3235927699660087
35,212375617499.9999694824218750,20135598507339.3007812500000000,5726684074803.4941406250000000,0.3236992350503803
36,212375617799.9999694824218750,20136843278818.3007812500000000,5728359983597.0693359375000000,0.3238039548055000
37,212375618100.0000305175781250,20138088033341.0976562500000000,5730036012226.7265625000000000,0.3239104198898717
38,212375618400.0000000000000000,20139332770907.7031250000000000,5731712160600.9794921875000000,0.3240151396449913
39,212375618700.0000000000000000,20140577491518.0976562500000000,5733388428630.2773437500000000,0.3241216047293629
40,212375618999.9999694824218750,20141822195172.3007812500000000,5735064816224.9228515625000000,0.3242263244844826
41,212375619300.0000305175781250,20143066881870.3007812500000000,5736741323295.6660156250000000,0.3243327895688543
42,212375619600.0000305175781250,20144311551627.0000000000000000,5738417949751.4667968750000000,0.3244375093239739
43,212375619900.0000000000000000,20145556204427.5000000000000000,5740094695503.0751953125000000,0.3245422290790936
44,212375620199.9999694824218750,20146800840286.6992187500000000,5741771560461.9833984375000000,0.3246469488342132
