,Time,SunDist,EarthDist,Phase
0,212372280599.9999694824218750,5191935635174.8007812500000000,14866000199634.6816406250000000,1.4175913250548342
1,212372280900.0000305175781250,5193157070929.4003906250000000,14864274439249.3984375000000000,1.4178601057596414
2,212372281200.0000000000000000,5194378776746.5000000000000000,14862548621189.9375000000000000,1.4181288864644486
3,212372281500.0000000000000000,5195600752313.2001953125000000,14860822745575.8007812500000000,1.4183976671692555
4,212372281799.9999694824218750,5196822997346.4003906250000000,14859096812525.5917968750000000,1.4186664478740629
5,212372282100.0000305175781250,5198045511533.2001953125000000,14857370822158.2109375000000000,1.4189334832496181
6,212372282400.0000305175781250,5199268294605.3994140625000000,14855644774590.6230468750000000,1.4192022639544251
7,212372282700.0000000000000000,5200491346265.0000000000000000,14853918669941.4335937500000000,1.4194692993299802
8,212372282999.9999694824218750,5201714666214.0000000000000000,14852192508328.5019531250000000,1.4197380800347874
9,212372283299.9999694824218750,5202938254154.4003906250000000,14850466289870.4316406250000000,1.4200051154103424
10,212372283600.0000305175781250,5204162109818.0000000000000000,14848740014683.4414062500000000,1.4202738961151495
11,212372283900.0000000000000000,5205386232877.0000000000000000,14847013682885.3906250000000000,1.4205409314907049
12,212372284200.0000000000000000,5206610623078.0996093750000000,14845287294593.9902343750000000,1.4208079668662599
13,212372284499.9999694824218750,5207835280108.4003906250000000,14843560849926.6523437500000000,1.4210750022418150
14,212372284800.0000305175781250,5209060203684.7998046875000000,14841834348999.1503906250000000,1.4213420376173700
15,212372285100.0000305175781250,5210285393524.2001953125000000,14840107791929.0429687500000000,1.4216090729929254
16,212372285400.0000000000000000,5211510849313.7001953125000000,14838381178832.9980468750000000,1.4218761083684806
17,212372285699.9999694824218750,5212736570785.1005859375000000,14836654509828.1328125000000000,1.4221413984147835
18,212372285999.9999694824218750,5213962557655.3007812500000000,14834927785029.4707031250000000,1.4224084337903389
19,212372286300.0000305175781250,5215188809611.3994140625000000,14833201004553.9785156250000000,1.4226754691658938
20,212372286600.0000000000000000,5216415326370.2998046875000000,14831474168517.5781250000000000,1.4229407592121968
21,212372286900.0000000000000000,5217642107648.8994140625000000,14829747277036.9355468750000000,1.4232077945877522
22,212372287199.9999694824218750,5218869153164.0996093750000000,14828020330226.4863281250000000,1.4234730846340551
23,212372287500.0000305175781250,5220096462617.8994140625000000,14826293328202.4472656250000000,1.4237383746803585
24,212372287800.0000305175781250,5221324035727.2001953125000000,14824566271080.2949218750000000,1.4240036647266614
25,212372288100.0000000000000000,5222551872194.0000000000000000,14822839158975.9492187500000000,1.4242707001022166
26,212372288399.9999694824218750,5223779971750.1005859375000000,14821111992003.2500000000000000,1.4245359901485197
27,212372288699.9999694824218750,5225008334097.5000000000000000,14819384770277.9648437500000000,1.4247995348655711
28,212372289000.0000305175781250,5226236958953.0996093750000000,14817657493915.4238281250000000,1.4250648249118740
29,212372289300.0000000000000000,5227465846018.9003906250000000,14815930163029.1640625000000000,1.4253301149581772
30,212372289600.0000000000000000,5228694995026.7001953125000000,14814202777734.2128906250000000,1.4255954050044803
31,212372289899.9999694824218750,5229924405678.5000000000000000,14812475338145.1523437500000000,1.4258589497215315
32,212372290200.0000305175781250,5231154077691.2001953125000000,14810747844376.7109375000000000,1.4261242397678346
33,212372290500.0000305175781250,5232384010766.7998046875000000,14809020296541.8320312500000000,1.4263877844848858
34,212372290800.0000000000000000,5233614204652.0000000000000000,14807292694754.9472656250000000,1.4266530745311889
35,212372291099.9999694824218750,5234844659019.0000000000000000,14805565039129.8925781250000000,1.4269166192482399
36,212372291399.9999694824218750,5236075373629.4003906250000000,14803837329780.9511718750000000,1.4271801639652912
37,212372291700.0000305175781250,5237306348155.3994140625000000,14802109566820.4667968750000000,1.4274437086823424
38,212372292000.0000000000000000,5238537582343.7001953125000000,14800381750362.1308593750000000,1.4277072533993933
39,212372292300.0000000000000000,5239769075896.2998046875000000,14798653880519.4765625000000000,1.4279707981164447
40,212372292599.9999694824218750,5241000828545.0000000000000000,14796925957405.8984375000000000,1.4282343428334958
41,212372292900.0000305175781250,5242232839976.9003906250000000,14795197981133.1406250000000000,1.4284978875505470
42,212372293200.0000305175781250,5243465109923.8007812500000000,14793469951814.5937500000000000,1.4287614322675979
43,212372293500.0000000000000000,5244697638117.5000000000000000,14791741869562.7558593750000000,1.4290249769846493
44,212372293799.9999694824218750,5245930424245.0996093750000000,14790013734490.8652343750000000,1.4292867763724484
45,212372294099.9999694824218750,5247163468053.2998046875000000,14788285546709.7773437500000000,1.4295503210894995
46,212372294400.0000305175781250,5248396769244.0996093750000000,14786557306332.2851562500000000,1.4298121204772987
47,212372294700.0000000000000000,5249630327549.2998046875000000,14784829013470.5859375000000000,1.4300739198650978
48,212372295000.0000000000000000,5250864142656.0000000000000000,14783100668237.0273437500000000,1.4303374645821487
49,212372295299.9999694824218750,5252098214310.9003906250000000,14781372270741.8652343750000000,1.4305992639699481
50,212372295600.0000305175781250,5253332542230.9003906250000000,14779643821097.5996093750000000,1.4308610633577472
51,212372295900.0000305175781250,5254567126132.9003906250000000,14777915319415.3808593750000000,1.4311228627455463
52,212372296200.0000000000000000,5255801965718.9003906250000000,14776186765807.4062500000000000,1.4313846621333455
53,212372296499.9999694824218750,5257037060735.5996093750000000,14774458160383.1914062500000000,1.4316464615211446
54,212372296799.9999694824218750,5258272410870.0996093750000000,14772729503254.4882812500000000,1.4319065155796917
