,Time,Magnitude,msig
0,212375653401.6,22.079,1.0
1,212375653747.19998,22.147,1.0
2,212375653747.19998,22.335,1.0
3,212375654092.80002,22.124,1.0
4,212375654438.4,22.426,1.0
5,212375654784.0,22.448,1.0
6,212375654784.0,22.682,1.0
7,212375655129.59998,22.433,1.0
8,212375655129.59998,22.841,1.0
9,212375655475.2,22.705,1.0
10,212375655475.2,22.939,1.0
11,212375655820.80002,22.758,1.0
12,212375655820.80002,23.097,1.0
13,212375656166.4,22.931,1.0
14,212375656166.4,23.18,1.0
15,212375656166.4,23.701,1.0
16,212375656857.59998,23.821,1.0
17,212375657203.2,24.191,1.0
18,212375657894.4,24.168,1.0
19,212375657894.4,24.711,1.0
20,212375658240.0,23.987,1.0
21,212375658240.0,24.523,1.0
22,212375658585.59998,23.655,1.0
23,212375658585.59998,24.063,1.0
24,212375658585.59998,24.462,1.0
25,212375658931.2,23.746,1.0
26,212375658931.2,24.161,1.0
27,212375658931.2,24.485,1.0
28,212375659276.80002,23.821,1.0
29,212375659276.80002,24.161,1.0
30,212375659276.80002,24.553,1.0
31,212375659622.4,23.67,1.0
32,212375659622.4,23.972,1.0
33,212375659622.4,24.327,1.0
34,212375659968.0,23.64,1.0
35,212375734099.2,22.541,1.0
36,212375734099.2,22.927,1.0
37,212375734704.0,22.381,1.0
38,212375734704.0,22.677,1.0
39,212375735308.80002,22.245,1.0
40,212375735308.80002,22.45,1.0
41,212375735827.2,22.112,1.0
42,212375735913.59998,21.836,1.0
43,212375735913.59998,22.328,1.0
44,212375736172.8,22.227,1.0
45,212375736518.4,21.813,1.0
46,212375736518.4,22.131,1.0
47,212375736604.80002,21.921,1.0
48,212375737123.19998,21.798,1.0
49,212375737123.19998,22.01,1.0
50,212375737728.0,21.752,1.0
51,212375738332.8,21.76,1.0
52,212375738937.6,21.76,1.0
53,212375738937.6,22.018,1.0
54,212375739110.4,21.814,1.0
55,212375739110.4,22.051,1.0
56,212375739715.2,21.933,1.0
57,212375740319.99997,21.759,1.0
58,212375740319.99997,21.993,1.0
59,212375740319.99997,22.153,1.0
60,212375740924.8,22.281,1.0
61,212375740924.8,22.524,1.0
62,212375741529.59998,22.206,1.0
63,212375741529.59998,22.531,1.0
64,212375741529.59998,22.66,1.0
65,212375742134.4,22.372,1.0
66,212375742134.4,22.547,1.0
67,212375742134.4,22.66,1.0
68,212375742739.2,22.387,1.0
69,212375742739.2,22.569,1.0
70,212375742739.2,22.698,1.0
71,212375743344.0,22.266,1.0
72,212375743344.0,22.456,1.0
73,212375743948.80002,22.41,1.0
74,212375743948.80002,22.713,1.0
75,212375744553.6,22.6,1.0
76,212375744553.6,22.736,1.0
77,212375747577.6,23.077,1.0
78,212375747577.6,23.35,1.0
79,212375748182.4,22.986,1.0
80,212375748182.4,23.213,1.0
81,212375748182.4,23.426,1.0
82,212375748182.4,23.6,1.0
83,212375748787.2,23.221,1.0
84,212375748787.2,23.373,1.0
85,212375749391.99997,23.433,1.0
86,212375749391.99997,24.07,1.0
87,212375749996.8,24.403,1.0
88,212375750601.6,23.122,1.0
89,212375750601.6,24.07,1.0
90,212375751206.4,23.176,1.0
91,212375751206.4,23.479,1.0
92,212375751811.2,22.895,1.0
93,212375751811.2,23.115,1.0
94,212375751811.2,23.251,1.0
95,212375829052.80002,23.925,1.0
96,212375829312.0,24.058,1.0
97,212375830521.6,24.066,1.0
98,212375830521.6,24.384,1.0
99,212375831126.4,24.051,1.0
100,212375831731.2,23.392,1.0
101,212375831731.2,23.907,1.0
102,212375832336.00003,23.369,1.0
103,212375832336.00003,23.687,1.0
104,212375832940.8,22.672,1.0
105,212375833545.6,22.392,1.0
106,212375833545.6,22.801,1.0
107,212375834150.4,22.263,1.0
108,212375834755.2,22.286,1.0
109,212375835360.0,22.377,1.0
110,212375835964.80002,22.203,1.0
111,212375837779.19998,22.165,1.0
112,212375838384.0,22.619,1.0
113,212375838384.0,22.937,1.0
114,212375838988.8,22.551,1.0
115,212375839593.6,22.634,1.0
116,212375840198.4,23.013,1.0
117,212375841408.00003,23.952,1.0
118,212375841494.4,24.664,1.0
119,212375842012.8,24.21,1.0
120,212375842617.6,24.414,1.0
121,212375842617.6,24.952,1.0
122,212375843222.4,23.392,1.0
123,212375843222.4,23.99,1.0
124,212375843222.4,25.217,1.0
125,212375843308.80002,24.756,1.0
126,212375843827.2,23.748,1.0
127,212375843827.2,24.126,1.0
128,212375843827.2,24.551,1.0
129,212375844432.0,23.574,1.0
130,212375844432.0,23.884,1.0
131,212375845036.80002,23.255,1.0
132,212375845641.59998,23.369,1.0
133,212375846246.4,22.816,1.0
134,212375846851.19998,22.574,1.0
135,212375847456.0,22.286,1.0
136,212375848060.8,22.309,1.0
137,212375848665.6,22.271,1.0
138,212375849270.40002,22.157,1.0
139,212375850480.00003,22.43,1.0
140,212375851084.8,22.551,1.0
141,212375851689.6,22.672,1.0
142,212375852294.4,22.687,1.0
143,212375852899.2,22.869,1.0
144,212375853504.0,23.18,1.0
145,212375854108.80002,23.521,1.0
146,212375854108.80002,23.801,1.0
147,212375854713.59998,23.967,1.0
148,212375855318.4,24.331,1.0
149,212375855318.4,24.891,1.0
150,212375855923.19998,23.725,1.0
151,212375855923.19998,24.763,1.0
152,212375856528.0,23.619,1.0
153,212375858342.40002,23.46,1.0
154,212375859552.0,22.642,1.0
155,212375860156.8,22.559,1.0
156,212375861798.4,21.987,1.0
157,212375849616.0,22.392,1.0
158,212375850048.0,22.445,1.0
159,212375856960.0,23.748,1.0
160,212375857391.99997,23.165,1.0
161,212375857391.99997,23.611,1.0
162,212375857824.0,23.18,1.0
163,212375857824.0,23.543,1.0
164,212375858256.0,23.134,1.0
165,212375858688.0,22.809,1.0
166,212375859119.99997,22.642,1.0
167,212375859552.0,22.301,1.0
168,212375859984.0,22.437,1.0
169,212375860416.0,22.354,1.0
170,212375860848.0,22.134,1.0
171,212375861280.00003,22.006,1.0
172,212375861712.0,21.9,1.0
173,212375862576.0,21.847,1.0
174,212375863008.00003,21.9,1.0
175,212375863440.0,22.112,1.0
176,212375863872.0,22.044,1.0
177,212375864304.0,22.089,1.0
178,212375864736.00003,22.165,1.0
179,212375865168.0,22.21,1.0
180,212375865600.0,22.309,1.0
181,212375866032.0,22.453,1.0
182,212375866463.99997,22.634,1.0
183,212375866463.99997,22.93,1.0
184,212375866896.0,22.862,1.0
185,212375866896.0,23.195,1.0
186,212375867328.0,23.081,1.0
187,212375867328.0,23.657,1.0
188,212375867760.0,23.46,1.0
189,212375867760.0,23.922,1.0
190,212375868191.99997,23.49,1.0
191,212375868191.99997,24.058,1.0
192,212375868624.0,24.134,1.0
193,212375917008.00003,22.265,1.0
194,212375917353.6,22.461,1.0
195,212375917612.8,22.355,1.0
196,212375917872.0,22.628,1.0
197,212375918304.0,22.689,1.0
198,212375918736.00003,23.03,1.0
199,212375919168.0,22.886,1.0
200,212375919168.0,23.499,1.0
201,212375921328.0,23.696,1.0
202,212375925216.0,22.977,1.0
203,212375926166.4,23.119,1.0
204,212375926512.0,22.507,1.0
205,212375927116.8,22.762,1.0
206,212375927376.0,22.151,1.0
207,212375927808.00003,22.234,1.0
208,212375930400.0,22.06,1.0
209,212375930832.0,22.242,1.0
210,212375931263.99997,22.197,1.0
211,212375931696.0,22.219,1.0
212,212375932128.0,22.257,1.0
213,212375932128.0,22.628,1.0
214,212375932560.0,22.416,1.0
215,212375932560.0,22.696,1.0
216,212375932732.8,22.92,1.0
217,212375932991.99997,22.674,1.0
218,212375933424.0,22.833,1.0
219,212375933856.0,22.84,1.0
220,212375933856.0,24.045,1.0
221,212375934288.0,22.909,1.0
222,212375934288.0,23.348,1.0
223,212375934288.0,23.658,1.0
224,212375934374.4,23.117,1.0
225,212375934719.99997,23.401,1.0
226,212375934719.99997,23.742,1.0
227,212375934892.80002,23.895,1.0
228,212375935152.0,23.651,1.0
229,212375935152.0,24.09,1.0
230,212375939040.0,22.704,1.0
231,212375939472.0,22.53,1.0
232,212375939904.0,22.931,1.0
233,212375940076.80002,22.707,1.0
234,212375940336.00003,22.924,1.0
235,212375940768.0,22.606,1.0
236,212375941200.0,22.5,1.0
237,212375941632.0,22.287,1.0
238,212375942063.99997,22.174,1.0
239,212375942496.0,22.068,1.0
240,212375942928.0,21.962,1.0
241,212375943360.0,21.947,1.0
242,212375943791.99997,21.81,1.0
243,212375944224.0,21.81,1.0
244,212375945519.99997,21.742,1.0
245,212375945952.0,21.81,1.0
246,212375946384.0,21.969,1.0
247,212375946816.0,22.136,1.0
248,212375947248.0,22.303,1.0
249,212375947248.0,22.606,1.0
250,212375947680.00003,22.681,1.0
251,212375948112.0,22.856,1.0
252,212375948112.0,23.242,1.0
253,212375948544.0,22.962,1.0
254,212375948544.0,23.348,1.0
255,212375948976.0,23.272,1.0
256,212375948976.0,23.666,1.0
257,212375949408.00003,23.34,1.0
258,212375949408.00003,23.802,1.0
259,212375949840.0,23.401,1.0
260,212375949840.0,24.09,1.0
261,212375950099.2,23.866,1.0
262,212375950272.0,23.658,1.0
263,212375950272.0,24.12,1.0
264,212375950272.0,24.537,1.0
265,212375950704.0,23.484,1.0
266,212375950704.0,23.954,1.0
267,212375950704.0,24.408,1.0
268,212375951136.00003,23.105,1.0
269,212375951136.00003,23.954,1.0
270,212375951568.0,22.787,1.0
271,212375951568.0,23.295,1.0
272,212375951568.0,23.87,1.0
273,212375952000.0,22.765,1.0
274,212375952432.0,22.878,1.0
275,212375952432.0,23.189,1.0
276,212375952863.99997,22.727,1.0
277,212375953296.0,22.666,1.0
278,212375953728.0,22.553,1.0
279,212376015244.8,22.931,1.0
280,212376017318.4,22.575,1.0
281,212376018009.6,22.212,1.0
282,212376018009.6,22.545,1.0
283,212376018700.8,22.06,1.0
284,212376020083.2,21.947,1.0
285,212376020083.2,22.265,1.0
286,212376020774.4,21.954,1.0
287,212376021465.6,21.712,1.0
288,212376021811.2,22.007,1.0
289,212376022156.8,21.765,1.0
290,212376022156.8,22.181,1.0
291,212376022848.0,21.394,1.0
292,212376022848.0,21.916,1.0
293,212376022848.0,22.454,1.0
294,212376023539.2,22.303,1.0
295,212376024230.40002,22.462,1.0
296,212376024921.6,22.939,1.0
297,212376025612.8,23.257,1.0
298,212376066393.6,22.197,1.0
299,212376067603.2,22.166,1.0
300,212376068208.00003,22.553,1.0
301,212376069417.6,22.84,1.0
302,212376070627.2,23.121,1.0
303,212376079094.4,21.833,1.0
304,212376089376.0,22.022,1.0
305,212376089980.80002,21.848,1.0
306,212376096633.6,22.643,1.0
307,212376097238.4,23.03,1.0
308,212376097843.2,22.886,1.0
309,212376098448.0,23.06,1.0
310,212376099052.80002,23.121,1.0
311,212376099657.59998,23.212,1.0
312,212376099657.59998,23.507,1.0
313,212376100262.4,23.651,1.0
314,212376100867.2,23.757,1.0
315,212376100867.2,24.196,1.0
316,212376101472.0,23.946,1.0
317,212376101472.0,24.211,1.0
318,212376102076.80002,23.537,1.0
319,212376102076.80002,24.06,1.0
320,212376102422.4,23.787,1.0
321,212376102854.4,23.47,1.0
322,212376103113.59998,23.22,1.0
323,212376103286.40002,23.333,1.0
324,212376103891.19998,22.606,1.0
325,212376103891.19998,23.295,1.0
326,212376104496.0,22.749,1.0
327,212376104755.2,22.877,1.0
328,212376105100.8,22.765,1.0
329,212376105187.2,22.613,1.0
330,212376105705.6,22.356,1.0
331,212376105705.6,22.886,1.0
332,212376106310.4,22.893,1.0
333,212376106483.2,22.402,1.0
334,212376106656.0,22.521,1.0
335,212377984560.0,22.409,1.0
336,212377985596.8,21.881,1.0
337,212377987065.6,22.092,1.0
338,212377988966.4,21.934,1.0
339,212377993891.19998,21.275,1.0
340,212377994409.6,21.341,1.0
341,212377994928.0,21.393,1.0
342,212377995014.40002,21.275,1.0
343,212377995532.8,21.288,1.0
344,212377996224.0,21.446,1.0
345,212378000284.8,21.591,1.0
346,212378000976.0,21.486,1.0
347,212378001926.4,21.407,1.0
348,212378087548.80002,22.513,1.0
349,212378089449.6,22.446,1.0
350,212378091436.80002,22.169,1.0
351,212378093683.2,22.313,1.0
352,212378095584.0,22.353,1.0
353,212378114073.6,21.913,1.0
354,212378115110.4,21.622,1.0
355,212378115715.2,21.503,1.0
356,212378116319.99997,21.398,1.0
357,212378177836.80002,22.132,1.0
358,212378178182.4,22.066,1.0
359,212378178700.8,22.382,1.0
360,212378179132.8,22.264,1.0
361,212378179478.4,22.053,1.0
362,212378179910.4,22.105,1.0
363,212378186908.80002,22.541,1.0
