,Theta,Phi,Psi
0,3.1345499687387637,1.5816970562612642,3.146922134715818
1,3.130642716460666,1.5750478271659243,3.135872864629326
2,3.1342873963574664,1.576627202629434,3.1272119764773687
3,3.124004108730018,1.563720564599212,3.147038701047704
4,3.136344872934702,1.569244393207798,3.1575369803366584
5,3.159492079418074,1.5687466929506557,3.145359169146108
6,3.1404542049020345,1.5793550082781542,3.146840748306451
7,3.169183252021562,1.5432319611244842,3.158913113389929
8,3.1351708667533624,1.5741689225032405,3.1379588531339255
9,3.1444292370903435,1.5686416618773111,3.1345052229692483
10,3.1295254285229084,1.587277509487235,3.1451825030995035
11,3.130642716460666,1.5750478271659243,3.135872864629326
12,3.1342873963574664,1.576627202629434,3.1272119764773687
13,3.1271228959950625,1.5623062041014226,3.147858410393537
14,3.1377048756257593,1.5643643178805362,3.1775819652036854
15,3.159492079418074,1.5687466929506557,3.145359169146108
16,3.140746836997144,1.580075001331625,3.1460790525335955
17,3.169183252021562,1.5432319611244842,3.158913113389929
18,3.1357359816612407,1.5717984708281383,3.1473829019391646
19,3.1310608079006985,1.5685484457076022,3.124872232877701
20,3.1392680607044317,1.5812528479336043,3.14523994002554
21,3.130642716460666,1.5750478271659243,3.135872864629326
22,3.138512909741831,1.5671766948270418,3.1112659005264036
23,3.128489538119805,1.567253399274501,3.143204777661565
24,3.1377048756257593,1.5643643178805362,3.1775819652036854
25,3.1652726857160713,1.5699094298108789,3.1368097793480825
26,3.13760804217924,1.5841417145083287,3.1446624364209828
27,3.1673893997795215,1.5449486729719826,3.157283488483372
28,3.1357359816612407,1.5717984708281383,3.1473829019391646
29,3.1310608079006985,1.5685484457076022,3.124872232877701
30,3.139700572180296,1.5893149415494876,3.1646985154529457
31,3.1252736182211485,1.5831701038740968,3.104162979135307
32,3.138512909741831,1.5671766948270418,3.1112659005264036
33,3.128489538119805,1.567253399274501,3.143204777661565
34,3.142297073091412,1.5613607165803693,3.174441789775277
35,3.1652726857160713,1.5699094298108789,3.1368097793480825
36,3.1376751311564663,1.5843014974656742,3.1448652250273375
37,3.1673893997795215,1.5449486729719826,3.157283488483372
38,3.134447311934159,1.5709026305450589,3.1411780378546057
39,3.1310608079006985,1.5685484457076022,3.124872232877701
40,3.1432671431052195,1.5908340424943914,3.1796638563257678
41,3.1252736182211485,1.5831701038740968,3.104162979135307
42,3.1445508377701437,1.5598827204778392,3.114505267835689
43,3.128489538119805,1.567253399274501,3.143204777661565
44,3.142297073091412,1.5613607165803693,3.174441789775277
45,3.1652726857160713,1.5699094298108789,3.1368097793480825
46,3.137950701706264,1.585445406981567,3.1451800134731633
47,3.1827892141886793,1.5202732944399013,3.15315944102195
48,3.134447311934159,1.5709026305450589,3.1411780378546057
49,3.1310608079006985,1.5685484457076022,3.124872232877701
50,3.1536833716574906,1.5809294674546588,3.1593790640763797
51,3.1082133168329005,1.5888260131314447,3.090238548245448
52,3.1445508377701437,1.5598827204778392,3.114505267835689
53,3.1280527986836066,1.5670334309719738,3.146318626442613
54,3.1444285160091114,1.5586300450192294,3.183241135991688
55,3.1700374382212306,1.556407673414049,3.1412571269798284
56,3.1412765363255812,1.5918403507402439,3.145874358051766
57,3.182134792979305,1.521441665651488,3.153598311026517
58,3.134447311934159,1.5709026305450589,3.1411780378546057
59,3.1310608079006985,1.5685484457076022,3.124872232877701
60,3.1536833716574906,1.5809294674546588,3.1593790640763797
61,3.0649676242790465,1.5963362654918853,3.0244803365570303
62,3.1445508377701437,1.5598827204778392,3.114505267835689
63,3.1280527986836066,1.5670334309719738,3.146318626442613
64,3.1444285160091114,1.5586300450192294,3.183241135991688
65,3.17877185096463,1.554197108949418,3.1402041412713566
66,3.1397079118020894,1.5932198386303353,3.144166927229478
67,3.193525651843895,1.4885177027317718,3.16521875934014
68,3.135616640707606,1.5744876758256563,3.141982161723014
69,3.1310608079006985,1.5685484457076022,3.124872232877701
70,3.1536833716574906,1.5809294674546588,3.1593790640763797
71,3.0649676242790465,1.5963362654918853,3.0244803365570303
72,3.138588952507964,1.5608732511609937,3.110028084944581
73,3.1280527986836066,1.5670334309719738,3.146318626442613
74,3.1444285160091114,1.5586300450192294,3.183241135991688
75,3.1697732458229275,1.5564745370194992,3.141288976953933
76,3.1311179776,1.5739201959338012,3.1457527509341148
77,3.222219080983612,1.4541082433013404,3.1735017285075102
78,3.1352066689763647,1.5740836444275832,3.1422172047002364
79,3.116694309412369,1.560685856297962,3.1029586096658304
80,3.1536833716574906,1.5809294674546588,3.1593790640763797
81,2.963865806850475,1.68777905294886,2.928669881902644
82,3.1406650841713315,1.559659397930411,3.1028770938390178
83,3.1280527986836066,1.5670334309719738,3.146318626442613
84,3.1444285160091114,1.5586300450192294,3.183241135991688
85,3.1697732458229275,1.5564745370194992,3.141288976953933
86,3.1767294895684914,1.5584640301900694,3.2293716267543298
87,3.2627701731635725,1.3790708766266142,3.181857802630101
88,3.1352066689763647,1.5740836444275832,3.1422172047002364
89,3.113630817474891,1.560659636064569,3.101969450791484
90,3.1536833716574906,1.5809294674546588,3.1593790640763797
91,2.963865806850475,1.68777905294886,2.928669881902644
92,3.139240141056082,1.559712119258453,3.1028292530846815
93,3.1280527986836066,1.5670334309719738,3.146318626442613
94,3.1416704782268896,1.5588118017430082,3.1759629824583016
95,3.1697732458229275,1.5564745370194992,3.141288976953933
96,3.1767294895684914,1.5584640301900694,3.2293716267543298
97,3.3566968003711066,1.235480500533858,3.2110456780162924
98,3.1277097908491633,1.5866466104993067,3.1088668994849593
99,3.113630817474891,1.560659636064569,3.101969450791484
100,3.174690334085986,1.591560689236478,3.189489543018923
101,2.9497198744538413,1.6997860141879864,2.9123010119266306
102,3.139240141056082,1.559712119258453,3.1028292530846815
103,3.1997450102781406,1.4630737265042195,3.1666140439609474
104,3.1416704782268896,1.5588118017430082,3.1759629824583016
105,3.157136605001319,1.5596727038537448,3.142812399601701
106,3.1767294895684914,1.5584640301900694,3.2293716267543298
107,3.3566968003711066,1.235480500533858,3.2110456780162924
108,3.13711858291191,1.6040133624844453,3.1134763734000788
109,3.113630817474891,1.560659636064569,3.101969450791484
110,3.1684723174738694,1.5936215707951353,3.176909582366045
111,3.015240876866232,1.6377537456273177,2.9789456903926084
112,3.139240141056082,1.559712119258453,3.1028292530846815
113,3.185076086834231,1.4843448926765463,3.1624614042359744
114,3.16921383310642,1.5569966743444466,3.24864681838323
115,3.157136605001319,1.5596727038537448,3.142812399601701
116,3.1767294895684914,1.5584640301900694,3.2293716267543298
117,3.3903459812163335,1.1970913457650203,3.2357461282276674
118,3.0589994792124653,1.7351258981107116,3.078764247974372
119,3.113630817474891,1.560659636064569,3.101969450791484
120,3.274563097305039,1.4040172703545752,3.2050427773011463
121,2.9378304089116334,1.6783546591338303,2.843352460026431
122,3.133556505140954,1.5690576202305027,3.095434894132861
123,3.2492194600595217,1.4158297185911919,3.216770919501447
124,3.16921383310642,1.5569966743444466,3.24864681838323
125,3.157136605001319,1.5596727038537448,3.142812399601701
126,3.18109523488116,1.5593163977693187,3.2181749231890016
127,3.559662603370353,0.974630986153682,3.3176014730531023
