UT,MJD,corrMMJD,rAU,dAU,aPh,Mag,corrm,sigma,Filt,flag
2017-10-25T01:04:16,58051.045,51.045,1.362,0.398,19.31,22.012,22.012,0.0814,g,V1g
2017-10-25T01:05:42,58051.046,51.046,1.362,0.398,19.31,22.115,22.115,0.0875,g,V1g
2017-10-25T01:06:57,58051.046,51.046,1.362,0.398,19.31,22.205,22.205,0.092,g,V1g
2017-10-25T01:08:23,58051.047,51.047,1.362,0.398,19.31,22.261,22.261,0.094,g,V1g
2017-10-25T01:09:57,58051.049,51.049,1.362,0.398,19.31,22.056,22.056,0.0836,g,V1g
2017-10-25T01:12:31,58051.05,51.05,1.362,0.398,19.31,21.38,22.22,0.066,r,V1r
2017-10-25T01:13:54,58051.051,51.051,1.362,0.398,19.31,21.319,22.159,0.0631,r,V1r
2017-10-25T01:19:41,58051.055,51.055,1.362,0.398,19.31,21.481,22.321,0.0681,r,V1r
2017-10-25T01:20:59,58051.056,51.056,1.362,0.398,19.31,21.493,22.333,0.0687,r,V1r
2017-10-25T01:22:11,58051.057,51.057,1.362,0.398,19.31,21.611,22.451,0.0744,r,V1r
2017-10-25T01:23:22,58051.058,51.058,1.362,0.398,19.31,21.587,22.427,0.073,r,V1r
2017-10-25T01:24:38,58051.059,51.059,1.362,0.398,19.31,21.685,22.525,0.0775,r,V1r
2017-10-25T01:25:51,58051.06,51.06,1.362,0.398,19.31,21.642,22.482,0.0746,r,V1r
2017-10-25T01:27:04,58051.06,51.06,1.362,0.398,19.31,21.802,22.642,0.083,r,V1r
2017-10-25T01:28:53,58051.062,51.062,1.362,0.398,19.31,21.203,22.353,0.0988,i,V1i
2017-10-25T01:30:09,58051.063,51.063,1.362,0.398,19.31,21.344,22.494,0.1077,i,V1i
2017-10-25T01:31:37,58051.064,51.064,1.362,0.398,19.31,21.622,22.772,0.1326,i,V1i
2017-10-25T01:32:48,58051.064,51.064,1.362,0.398,19.31,21.603,22.753,0.1331,i,V1i
2017-10-25T01:34:03,58051.065,51.065,1.362,0.398,19.31,21.541,22.691,0.1295,i,V1i
2017-10-25T01:35:16,58051.066,51.066,1.362,0.398,19.31,21.784,22.934,0.1519,i,V1i
2017-10-25T01:36:40,58051.067,51.067,1.362,0.398,19.31,21.547,22.697,0.127,i,V1i
2017-10-25T01:37:56,58051.068,51.068,1.362,0.398,19.31,21.479,22.629,0.1216,i,V1i
2017-10-25T01:39:12,58051.069,51.069,1.362,0.398,19.31,21.778,22.928,0.1485,i,V1i
2017-10-25T01:40:23,58051.07,51.07,1.362,0.398,19.31,21.778,22.928,0.1525,i,V1i
2017-10-25T01:41:43,58051.071,51.071,1.362,0.398,19.31,21.719,22.869,0.1418,i,V1i
2017-10-25T01:42:52,58051.071,51.071,1.362,0.398,19.31,21.588,22.738,0.128,i,V1i
2017-10-25T01:44:11,58051.072,51.072,1.362,0.398,19.31,21.656,22.806,0.1386,i,V1i
2017-10-25T01:45:19,58051.073,51.073,1.362,0.398,19.31,21.88,23.03,0.1631,i,V1i
2017-10-25T01:46:49,58051.074,51.074,1.362,0.398,19.31,22.022,23.172,0.1828,i,V1i
2017-10-25T01:49:20,58051.076,51.076,1.362,0.398,19.31,22.339,23.589,0.3132,z,V1z
2017-10-25T01:50:32,58051.077,51.077,1.362,0.398,19.31,22.887,24.137,0.5115,z,V1z
2017-10-25T01:51:52,58051.078,51.078,1.362,0.398,19.31,22.483,23.733,0.3628,z,V1z
2017-10-25T01:53:11,58051.079,51.079,1.362,0.398,19.31,22.108,23.358,0.2636,z,V1z
2017-10-25T01:54:34,58051.08,51.08,1.362,0.398,19.31,22.435,23.685,0.3431,z,V1z
2017-10-25T01:55:43,58051.08,51.08,1.362,0.398,19.31,21.937,23.187,0.2241,z,V1z
2017-10-25T01:56:59,58051.081,51.081,1.362,0.398,19.31,22.524,23.774,0.3731,z,V1z
2017-10-25T02:04:00,58051.086,51.086,1.363,0.4,19.378,23.613,24.851,0.9607,z,V1z
2017-10-25T02:05:15,58051.087,51.087,1.363,0.4,19.378,22.668,23.906,0.4205,z,V1z
2017-10-25T02:06:25,58051.088,51.088,1.363,0.4,19.378,22.151,23.389,0.265,z,V1z
2017-10-25T02:08:46,58051.089,51.089,1.363,0.4,19.378,23.442,24.68,0.7914,z,V1z
2017-10-25T02:09:55,58051.09,51.09,1.363,0.4,19.378,22.758,23.996,0.4431,z,V1z
2017-10-25T02:11:08,58051.091,51.091,1.363,0.4,19.378,22.323,23.561,0.3025,z,V1z
2017-10-25T02:12:19,58051.092,51.092,1.363,0.4,19.378,23.343,24.581,0.7424,z,V1z
2017-10-25T02:13:25,58051.093,51.093,1.363,0.4,19.378,22.928,24.166,0.5069,z,V1z
2017-10-25T02:14:42,58051.094,51.094,1.363,0.4,19.378,22.788,24.026,0.4428,z,V1z
2017-10-25T02:15:48,58051.094,51.094,1.363,0.4,19.378,22.6,23.838,0.3807,z,V1z
2017-10-25T02:16:56,58051.095,51.095,1.363,0.4,19.378,23.539,24.777,0.8757,z,V1z
2017-10-25T02:18:04,58051.096,51.096,1.363,0.4,19.378,22.635,23.873,0.385,z,V1z
2017-10-25T02:19:11,58051.097,51.097,1.363,0.4,19.378,23.117,24.355,0.586,z,V1z
2017-10-25T02:20:40,58051.098,51.098,1.363,0.4,19.378,22.94,24.178,0.4933,z,V1z
2017-10-25T02:21:49,58051.098,51.098,1.363,0.4,19.378,24.213,25.451,1.578,z,V1z
2017-10-25T02:22:55,58051.099,51.099,1.363,0.4,19.378,24.075,25.313,1.3993,z,V1z
2017-10-25T02:24:03,58051.1,51.1,1.363,0.4,19.378,22.694,23.932,0.4139,z,V1z
2017-10-25T02:25:41,58051.101,51.101,1.363,0.4,19.378,24.479,24.467,0.3966,g,V1g
2017-10-25T02:26:52,58051.102,51.102,1.363,0.4,19.378,24.009,23.997,0.2889,g,V1g
2017-10-25T02:28:01,58051.103,51.103,1.363,0.4,19.378,24.003,23.991,0.2769,g,V1g
2017-10-25T02:29:10,58051.104,51.104,1.363,0.4,19.378,24.171,24.159,0.3,g,V1g
2017-10-25T02:30:18,58051.104,51.104,1.363,0.4,19.378,23.667,23.655,0.2052,g,V1g
2017-10-25T02:33:58,58051.107,51.107,1.363,0.4,19.378,23.323,24.151,0.2362,r,V1r
2017-10-25T02:35:08,58051.108,51.108,1.363,0.4,19.378,23.601,24.429,0.2897,r,V1r
2017-10-25T02:36:16,58051.109,51.109,1.363,0.4,19.378,23.486,24.314,0.2707,r,V1r
2017-10-25T02:37:23,58051.109,51.109,1.363,0.4,19.378,23.727,24.555,0.3156,r,V1r
2017-10-25T02:39:01,58051.11,51.11,1.363,0.4,19.378,23.394,24.222,0.2529,r,V1r
2017-10-25T02:40:08,58051.111,51.111,1.363,0.4,19.378,22.986,23.814,0.1858,r,V1r
2017-10-25T02:41:39,58051.112,51.112,1.363,0.4,19.378,23.2,24.028,0.2141,r,V1r
2017-10-25T02:43:16,58051.113,51.113,1.363,0.4,19.378,22.752,23.89,0.2985,i,V1i
2017-10-25T02:44:25,58051.114,51.114,1.363,0.4,19.378,22.881,24.019,0.3322,i,V1i
2017-10-25T02:47:12,58051.116,51.116,1.363,0.4,19.378,22.574,23.712,0.2606,i,V1i
2017-10-25T02:48:24,58051.117,51.117,1.363,0.4,19.378,22.451,23.589,0.235,i,V1i
2017-10-25T02:49:35,58051.118,51.118,1.363,0.4,19.378,23.194,24.332,0.4444,i,V1i
2017-10-25T23:28:01,58051.978,51.978,1.384,0.429,20.661,23.53,22.901,0.12,B,No1B
2017-10-25T23:31:03,58051.98,51.98,1.384,0.429,20.661,23.1,22.471,0.12,B,No1B
2017-10-25T23:33:04,58051.981,51.981,1.384,0.429,20.661,23.25,22.621,0.12,B,No1B
2017-10-25T23:49:03,58051.992,51.992,1.384,0.429,20.661,23.08,22.451,0.12,B,No1B
2017-10-25T23:50:55,58051.994,51.994,1.384,0.429,20.661,22.86,22.231,0.12,B,No1B
2017-10-25T23:52:56,58051.995,51.995,1.384,0.429,20.661,22.95,22.321,0.12,B,No1B
2017-10-25T23:55:58,58051.997,51.997,1.384,0.429,20.661,22.07,22.14,0.07,V,No1V
2017-10-25T23:58:59,58051.999,51.999,1.384,0.429,20.661,21.75,21.82,0.1,V,No1V
2017-10-26T00:01:00,58052.001,52.001,1.385,0.43,20.718,22.18,22.239,0.1,V,No1V
2017-10-26T00:04:01,58052.003,52.003,1.385,0.43,20.718,21.54,22.105,0.1,R,No1R
2017-10-26T00:06:02,58052.004,52.004,1.385,0.43,20.718,21.38,21.945,0.1,R,No1R
2017-10-26T00:09:04,58052.006,52.006,1.385,0.43,20.718,21.58,22.145,0.1,R,No1R
2017-10-26T00:10:56,58052.008,52.007,1.385,0.43,20.718,21.34,21.905,0.1,R,No1R
2017-10-26T00:13:58,58052.01,52.01,1.385,0.43,20.718,21.42,21.985,0.1,R,No1R
2017-10-26T00:15:59,58052.011,52.011,1.385,0.43,20.718,21.21,21.775,0.1,R,No1R
2017-10-26T00:19:00,58052.013,52.013,1.385,0.43,20.718,21.39,21.955,0.1,R,No1R
2017-10-26T00:21:01,58052.015,52.014,1.385,0.43,20.718,21.24,21.805,0.1,R,No1R
2017-10-26T00:24:02,58052.017,52.017,1.385,0.43,20.718,21.17,21.735,0.1,R,No1R
2017-10-26T00:26:03,58052.018,52.018,1.385,0.43,20.718,21.22,21.785,0.1,R,No1R
2017-10-26T00:28:01,58052.019,52.019,1.385,0.43,20.718,23.53,22.89,0.12,B,Nop1B
2017-10-26T00:31:03,58052.022,52.021,1.385,0.43,20.718,23.1,22.46,0.12,B,Nop1B
2017-10-26T00:32:58,58052.023,52.023,1.385,0.43,20.718,21.18,21.745,0.1,R,No1R
2017-10-26T00:33:04,58052.023,52.023,1.385,0.43,20.718,23.25,22.61,0.12,B,Nop1B
2017-10-26T00:36:00,58052.025,52.025,1.385,0.43,20.718,21.17,21.735,0.1,R,No1R
2017-10-26T00:38:00,58052.026,52.026,1.385,0.43,20.718,21.75,21.809,0.1,V,No1V
2017-10-26T00:41:02,58052.029,52.028,1.385,0.43,20.718,21.69,21.749,0.1,V,No1V
2017-10-26T00:43:03,58052.03,52.03,1.385,0.43,20.718,21.68,21.739,0.1,V,No1V
2017-10-26T00:46:56,58052.033,52.032,1.385,0.43,20.718,22.63,21.99,0.12,B,No1B
2017-10-26T00:48:57,58052.034,52.034,1.385,0.43,20.718,22.46,21.82,0.12,B,No1B
2017-10-26T00:49:03,58052.034,52.034,1.385,0.43,20.718,23.08,22.44,0.12,B,Nop1B
2017-10-26T00:50:55,58052.035,52.035,1.385,0.43,20.718,22.86,22.22,0.12,B,Nop1B
2017-10-26T00:50:58,58052.035,52.035,1.385,0.43,20.718,22.71,22.07,0.12,B,No1B
2017-10-26T00:52:56,58052.037,52.037,1.385,0.43,20.718,22.95,22.31,0.12,B,Nop1B
2017-10-26T00:55:58,58052.039,52.039,1.385,0.43,20.718,22.07,22.129,0.07,V,Nop1V
2017-10-26T00:58:59,58052.041,52.041,1.385,0.43,20.718,21.75,21.809,0.1,V,Nop1V
2017-10-26T01:01:00,58052.042,52.042,1.386,0.431,20.775,22.18,22.228,0.1,V,Nop1V
2017-10-26T01:04:01,58052.044,52.044,1.386,0.431,20.775,21.54,22.095,0.1,R,Nop1R
2017-10-26T01:06:02,58052.046,52.046,1.386,0.431,20.775,21.38,21.935,0.1,R,Nop1R
2017-10-26T01:09:04,58052.048,52.048,1.386,0.431,20.775,21.58,22.135,0.1,R,Nop1R
2017-10-26T01:10:03,58052.049,52.048,1.386,0.431,20.775,21.187,21.758,0.0827,r,G2r
2017-10-26T01:10:56,58052.049,52.049,1.386,0.431,20.775,21.34,21.895,0.1,R,Nop1R
2017-10-26T01:11:13,58052.049,52.049,1.386,0.431,20.775,21.708,22.279,0.1848,r,G2r
2017-10-26T01:12:23,58052.05,52.05,1.386,0.431,20.775,21.362,21.933,0.1092,r,G2r
2017-10-26T01:13:29,58052.051,52.051,1.386,0.431,20.775,21.367,21.938,0.1284,r,G2r
2017-10-26T01:13:58,58052.051,52.051,1.386,0.431,20.775,21.42,21.975,0.1,R,Nop1R
2017-10-26T01:14:37,58052.052,52.052,1.386,0.431,20.775,21.013,21.584,0.0854,r,G2r
2017-10-26T01:15:49,58052.053,52.052,1.386,0.431,20.775,22.367,22.098,0.2289,g,G2gx
2017-10-26T01:15:59,58052.053,52.053,1.386,0.431,20.775,21.21,21.765,0.1,R,Nop1R
2017-10-26T01:16:55,58052.053,52.053,1.386,0.431,20.775,22.046,21.777,0.1789,g,G2gx
2017-10-26T01:15:49,58052.053,52.052,1.386,0.431,20.775,22.367,22.098,0.23,g,G2g
2017-10-26T01:18:03,58052.054,52.054,1.386,0.431,20.775,22.798,22.529,0.4209,g,G2gx
2017-10-26T01:19:00,58052.055,52.055,1.386,0.431,20.775,21.39,21.945,0.1,R,Nop1R
2017-10-26T01:20:54,58052.056,52.056,1.386,0.431,20.775,22.679,22.41,0.1065,g,G2g
2017-10-26T01:21:01,58052.056,52.056,1.386,0.431,20.775,21.24,21.795,0.1,R,Nop1R
2017-10-26T01:22:01,58052.057,52.057,1.386,0.431,20.775,22.674,22.405,0.1063,g,G2g
2017-10-26T01:23:07,58052.058,52.058,1.386,0.431,20.775,22.78,22.511,0.1192,g,G2g
2017-10-26T01:24:02,58052.058,52.058,1.386,0.431,20.775,21.17,21.725,0.1,R,Nop1R
2017-10-26T01:24:14,58052.058,52.058,1.386,0.431,20.775,22.729,22.46,0.1215,g,G2g
2017-10-26T01:25:20,58052.059,52.059,1.386,0.431,20.775,22.636,22.367,0.1069,g,G2g
2017-10-26T01:26:03,58052.06,52.06,1.386,0.431,20.775,21.22,21.775,0.1,R,Nop1R
2017-10-26T01:26:27,58052.06,52.06,1.386,0.431,20.775,22.772,22.503,0.1112,g,G2g
2017-10-26T01:27:33,58052.061,52.061,1.386,0.431,20.775,22.602,22.333,0.1015,g,G2g
2017-10-26T01:28:45,58052.062,52.061,1.386,0.431,20.775,21.791,22.362,0.0573,r,G2r
2017-10-26T01:29:54,58052.062,52.062,1.386,0.431,20.775,21.849,22.42,0.0622,r,G2r
2017-10-26T01:31:01,58052.063,52.063,1.386,0.431,20.775,21.937,22.508,0.0662,r,G2r
2017-10-26T01:32:08,58052.064,52.064,1.386,0.431,20.775,21.997,22.568,0.0664,r,G2r
2017-10-26T01:32:58,58052.065,52.064,1.386,0.431,20.775,21.18,21.735,0.1,R,Nop1R
2017-10-26T01:33:15,58052.065,52.065,1.386,0.431,20.775,22.028,22.599,0.0716,r,G2r
2017-10-26T01:34:23,58052.066,52.065,1.386,0.431,20.775,21.574,22.145,0.0483,r,G2r
2017-10-26T01:35:30,58052.066,52.066,1.386,0.431,20.775,21.672,22.243,0.0523,r,G2r
2017-10-26T01:36:00,58052.067,52.066,1.386,0.431,20.775,21.17,21.725,0.1,R,Nop1R
2017-10-26T01:36:40,58052.067,52.067,1.386,0.431,20.775,21.824,22.395,0.0634,r,G2r
2017-10-26T01:37:47,58052.068,52.068,1.386,0.431,20.775,22.029,22.6,0.0849,r,G2r
2017-10-26T01:38:00,58052.068,52.068,1.386,0.431,20.775,21.75,21.798,0.1,V,Nop1V
2017-10-26T01:38:59,58052.069,52.069,1.386,0.431,20.775,21.468,22.349,0.0609,i,G2i
2017-10-26T01:40:05,58052.07,52.069,1.386,0.431,20.775,21.598,22.479,0.0714,i,G2i
2017-10-26T01:41:02,58052.07,52.07,1.386,0.431,20.775,21.69,21.738,0.1,V,Nop1V
2017-10-26T01:41:12,58052.07,52.07,1.386,0.431,20.775,21.582,22.463,0.0699,i,G2i
2017-10-26T01:42:22,58052.071,52.071,1.386,0.431,20.775,21.618,22.499,0.0708,i,G2i
2017-10-26T01:43:03,58052.072,52.071,1.386,0.431,20.775,21.68,21.728,0.1,V,Nop1V
2017-10-26T01:43:27,58052.072,52.072,1.386,0.431,20.775,21.469,22.35,0.0638,i,G2i
2017-10-26T01:44:37,58052.073,52.072,1.386,0.431,20.775,21.5,22.381,0.0657,i,G2i
2017-10-26T01:45:45,58052.073,52.073,1.386,0.431,20.775,21.615,22.496,0.0695,i,G2i
2017-10-26T01:46:53,58052.074,52.074,1.386,0.431,20.775,21.704,22.585,0.0766,i,G2i
2017-10-26T01:46:56,58052.074,52.074,1.386,0.431,20.775,22.63,21.979,0.12,B,Nop1B
2017-10-26T01:48:01,58052.075,52.075,1.386,0.431,20.775,21.693,22.574,0.0739,i,G2i
2017-10-26T01:48:57,58052.076,52.075,1.386,0.431,20.775,22.46,21.809,0.12,B,Nop1B
2017-10-26T01:49:08,58052.076,52.076,1.386,0.431,20.775,21.645,22.526,0.0702,i,G2i
2017-10-26T01:50:19,58052.077,52.076,1.386,0.431,20.775,20.151,20.722,0.0179,r,G2r
2017-10-26T01:50:58,58052.077,52.077,1.386,0.431,20.775,22.71,22.059,0.12,B,Nop1B
2017-10-26T01:51:26,58052.077,52.077,1.386,0.431,20.775,21.9,22.471,0.0642,r,G2r
2017-10-26T01:52:35,58052.078,52.078,1.386,0.431,20.775,21.893,22.464,0.0584,r,G2r
2017-10-26T01:53:44,58052.079,52.079,1.386,0.431,20.775,22.049,22.62,0.0681,r,G2r
2017-10-26T01:54:51,58052.08,52.08,1.386,0.431,20.775,21.863,22.434,0.0602,r,G2r
2017-10-26T01:55:57,58052.081,52.08,1.386,0.431,20.775,21.971,22.542,0.0622,r,G2r
2017-10-26T01:57:06,58052.081,52.081,1.386,0.431,20.775,21.862,22.433,0.0595,r,G2r
2017-10-26T01:58:12,58052.082,52.082,1.386,0.431,20.775,21.794,22.365,0.0554,r,G2r
2017-10-26T01:59:19,58052.083,52.083,1.386,0.431,20.775,21.871,22.442,0.0574,r,G2r
2017-10-26T02:01:41,58052.085,52.084,1.387,0.433,20.832,21.159,22.129,0.0821,z,G2z
2017-10-26T02:02:51,58052.085,52.085,1.387,0.433,20.832,21.37,22.34,0.0976,z,G2z
2017-10-26T02:06:47,58052.088,52.088,1.387,0.433,20.832,21.148,22.118,0.0797,z,G2z
2017-10-26T02:07:55,58052.089,52.089,1.387,0.433,20.832,21.416,22.386,0.1032,z,G2z
2017-10-26T02:09:03,58052.09,52.089,1.387,0.433,20.832,21.396,22.366,0.0979,z,G2z
2017-10-26T02:10:09,58052.09,52.09,1.387,0.433,20.832,21.438,22.408,0.1018,z,G2z
2017-10-26T02:11:17,58052.091,52.091,1.387,0.433,20.832,21.925,22.895,0.1603,z,G2z
2017-10-26T02:12:25,58052.092,52.092,1.387,0.433,20.832,21.29,22.26,0.0922,z,G2z
2017-10-26T02:13:34,58052.093,52.093,1.387,0.433,20.832,21.084,22.054,0.0763,z,G2z
2017-10-26T02:14:41,58052.094,52.093,1.387,0.433,20.832,21.654,22.624,0.1298,z,G2z
2017-10-26T02:15:49,58052.094,52.094,1.387,0.433,20.832,22.063,23.033,0.1823,z,G2z
2017-10-26T02:16:55,58052.095,52.095,1.387,0.433,20.832,21.863,22.833,0.1503,z,G2z
2017-10-26T02:18:04,58052.096,52.096,1.387,0.433,20.832,21.235,22.205,0.0902,z,G2z
2017-10-26T02:19:14,58052.097,52.096,1.387,0.433,20.832,21.809,22.779,0.1466,z,G2z
2017-10-26T02:20:20,58052.097,52.097,1.387,0.433,20.832,21.043,22.013,0.0787,z,G2z
2017-10-26T02:21:27,58052.098,52.098,1.387,0.433,20.832,22.157,23.127,0.2059,z,G2z
2017-10-26T02:22:37,58052.099,52.099,1.387,0.433,20.832,21.567,22.537,0.1226,z,G2z
