Date,Time,JD,MJD,Phase
2017-Oct-25,0:00,2458051.5,51,19.1726
2017-Oct-25,0:30,2458051.521,51.02083333,19.2064
2017-Oct-25,1:00,2458051.542,51.04166666,19.2401
2017-Oct-25,1:30,2458051.563,51.0625,19.2737
2017-Oct-25,2:00,2458051.583,51.08333333,19.3071
2017-Oct-25,2:30,2458051.604,51.10416666,19.3405
2017-Oct-25,3:00,2458051.625,51.125,19.3736
2017-Oct-25,3:30,2458051.646,51.14583333,19.4067
2017-Oct-25,4:00,2458051.667,51.16666666,19.4396
2017-Oct-25,4:30,2458051.688,51.1875,19.4724
2017-Oct-25,5:00,2458051.708,51.20833333,19.5051
2017-Oct-25,5:30,2458051.729,51.22916666,19.5377
2017-Oct-25,6:00,2458051.75,51.25,19.5701
2017-Oct-25,6:30,2458051.771,51.27083333,19.6024
2017-Oct-25,7:00,2458051.792,51.29166666,19.6346
2017-Oct-25,7:30,2458051.813,51.3125,19.6666
2017-Oct-25,8:00,2458051.833,51.33333333,19.6985
2017-Oct-25,8:30,2458051.854,51.35416666,19.7303
2017-Oct-25,9:00,2458051.875,51.375,19.762
2017-Oct-25,9:30,2458051.896,51.39583333,19.7936
2017-Oct-25,10:00,2458051.917,51.41666666,19.825
2017-Oct-25,10:30,2458051.938,51.4375,19.8563
2017-Oct-25,11:00,2458051.958,51.45833333,19.8875
2017-Oct-25,11:30,2458051.979,51.47916666,19.9186
2017-Oct-25,12:00,2458052,51.5,19.9496
2017-Oct-25,12:30,2458052.021,51.52083333,19.9804
2017-Oct-25,13:00,2458052.042,51.54166666,20.0111
2017-Oct-25,13:30,2458052.063,51.5625,20.0417
2017-Oct-25,14:00,2458052.083,51.58333333,20.0722
2017-Oct-25,14:30,2458052.104,51.60416666,20.1026
2017-Oct-25,15:00,2458052.125,51.625,20.1329
2017-Oct-25,15:30,2458052.146,51.64583333,20.163
2017-Oct-25,16:00,2458052.167,51.66666666,20.193
2017-Oct-25,16:30,2458052.188,51.6875,20.2229
2017-Oct-25,17:00,2458052.208,51.70833333,20.2527
2017-Oct-25,17:30,2458052.229,51.72916666,20.2824
2017-Oct-25,18:00,2458052.25,51.75,20.312
2017-Oct-25,18:30,2458052.271,51.77083333,20.3414
2017-Oct-25,19:00,2458052.292,51.79166666,20.3707
2017-Oct-25,19:30,2458052.313,51.8125,20.4
2017-Oct-25,20:00,2458052.333,51.83333333,20.4291
2017-Oct-25,20:30,2458052.354,51.85416666,20.4581
2017-Oct-25,21:00,2458052.375,51.875,20.487
2017-Oct-25,21:30,2458052.396,51.89583333,20.5158
2017-Oct-25,22:00,2458052.417,51.91666666,20.5444
2017-Oct-25,22:30,2458052.438,51.9375,20.573
2017-Oct-25,23:00,2458052.458,51.95833333,20.6015
2017-Oct-25,23:30,2458052.479,51.97916666,20.6298
2017-Oct-26,0:00,2458052.5,52,20.6581
2017-Oct-26,0:30,2458052.521,52.02083333,20.6862
2017-Oct-26,1:00,2458052.542,52.04166666,20.7142
2017-Oct-26,1:30,2458052.563,52.0625,20.7421
2017-Oct-26,2:00,2458052.583,52.08333333,20.7699
