,Times,MoIs,a,b,c
0,212360616000.0,1.0176225977092128e+16,2750.0,2650.5763168431645,454.34782608695645
1,212360618857.32,1.0178290960545474e+16,2750.2608631789517,2650.522430824783,454.2998643881693
2,212360621714.64,1.0182065347595426e+16,2750.731303398338,2650.4042155166744,454.21254351248876
3,212360624571.96,1.0187272573111606e+16,2751.375959709789,2650.2183596783734,454.09426736101506
4,212360627429.28,1.0193691004036026e+16,2752.16769496625,2649.9650473844995,453.95217922999797
5,212360630286.6,1.0201140843457632e+16,2753.084782773161,2649.646459837854,453.7919842912465
6,212360633143.92,1.0209474853018108e+16,2754.1094586658655,2649.2659470411095,453.6180922180491
7,212360636001.24,1.0218571466871416e+16,2755.2270094890036,2648.8275060379237,453.4338546214784
8,212360638858.56,1.0228329566904498e+16,2756.4251362048144,2648.3354354336534,453.24179758441426
9,212360641715.88,1.0238664464735632e+16,2757.6934815611403,2647.7941042735547,453.04381716493646
10,212360644573.2,1.0249504781266482e+16,2759.023268504436,2647.207799364024,452.84133377282535
11,212360647430.52,1.026079000320588e+16,2760.407017929172,2646.5806275843224,452.6354106196088
12,212360650287.84,1.027246855505092e+16,2761.838325424654,2645.9164569189406,452.42684336335316
13,212360653145.16,1.0284496266451838e+16,2763.3116828772186,2645.218884612623,452.21622750092894
14,212360656002.48,1.0296835144833752e+16,2764.822334662983,2644.491224095679,452.0040088658433
15,212360658859.8,1.0309452385163398e+16,2766.3661607899103,2643.736504654178,451.79052140658564
16,212360661717.12,1.0322319565103266e+16,2767.939581213198,2642.9574795105427,451.576015427848
17,212360664574.44,1.033541198602846e+16,2769.5394769135046,2642.156639214726,451.360678695068
18,212360667431.76,1.0348708129575446e+16,2771.1631243444863,2641.336228148103,451.14465220372097
19,212360670289.08,1.0362189206333058e+16,2772.808140621429,2640.4982626000588,450.9280419618723
20,212360673146.4,1.0375838778543726e+16,2774.472437402821,2639.644549355539,450.7109277942313
21,212360676003.72,1.0389642442680152e+16,2776.1541818587384,2638.7767040780627,450.49336992111205
22,212360678861.04,1.0403587560815064e+16,2777.851763458447,2637.8961690218644,450.27541387513924
23,212360681718.36,1.0417663032039188e+16,2779.5637655700625,2637.0042297848076,450.05709417613724
24,212360684575.68,1.043185909698222e+16,2781.2889410665334,2636.102030939577,449.8384370782672
25,212360687433.0,1.044616716988382e+16,2783.0261912887327,2635.1905904684545,449.6194626240223
26,212360690290.32,1.0460579693741688e+16,2784.774547838837,2634.2708129871667,449.4001861803465
27,212360693147.64,1.0475090014910608e+16,2786.5331567733683,2633.343501783456,449.18061958781425
28,212360696004.96,1.0489692274189028e+16,2788.3012648414324,2632.409369721814,448.9607720206945
29,212360698862.28,1.050438131195595e+16,2790.0782074743406,2631.46904908138,448.7406506309837
30,212360844585.6,1.1098367959517178e+16,2861.6357287505075,2597.1010730008975,438.8076526044763
31,212360844585.6,1.1098367959517178e+16,2861.6357287505075,2597.1010730008975,438.8076526044763
32,212360847442.92,1.1113887480059394e+16,2863.4478680500033,2596.1547917934986,438.5995248159065
33,212360850300.24,1.1129650285655634e+16,2865.2835278753155,2595.2027719838825,438.3864067039279
34,212360853157.56,1.1145625608188804e+16,2867.1402032973665,2594.243923376758,438.16929657693146
35,212360856014.88,1.1161789079263404e+16,2869.015666931448,2593.277941193577,437.94905230146315
36,212360858872.2,1.117812088650739e+16,2870.907973159528,2592.304839600246,437.72635090643206
37,212360861729.52,1.11946047801861e+16,2872.815447115993,2591.3247977723245,437.5017150069598
38,212360864586.84,1.121122733487429e+16,2874.7366558253207,2590.338087962433,437.27554310295153
39,212360867444.16,1.1227978376662774e+16,2876.6703752535213,2589.345034387408,437.04813726197597
40,212360870301.48,1.1244848178636148e+16,2878.6155590968096,2588.345986900802,436.81972594436974
41,212360873158.8,1.1261828268937058e+16,2880.57131125793,2587.341303233097,436.590481901417
42,212360876016.12,1.1278911989193188e+16,2882.536862365502,2586.3313368777226,436.36053587617585
43,212360878873.44,1.129609367932627e+16,2884.511550066653,2585.3164289675933,436.12998697344307
44,212360881730.76,1.1313368508649106e+16,2886.494802612726,2584.296903054484,435.8989104686844
45,212360884588.08,1.13307323404511e+16,2888.4861252247274,2583.2730620100274,435.6673636760096
46,212360887445.4,1.1348181622632972e+16,2890.4850887640396,2582.245186464005,435.4353903547715
47,212360890302.72,1.1365713298719978e+16,2892.4913202973826,2581.2135343375653,435.2030240190165
48,212360893160.04,1.1383324734914386e+16,2894.504495211891,2580.1783411370757,434.97029042416983
49,212360896017.36,1.1401013659852912e+16,2896.5243305976273,2579.139820758122,434.7372094369096
50,212360898874.68,1.1418778114498084e+16,2898.550579667866,2578.0981666141224,434.503796442575
51,212360901732.0,1.1436616410168612e+16,2900.583027031625,2577.0535529540703,434.27006340571944
52,212360904589.32,1.14545270931559e+16,2902.6214846689477,2576.0061362720776,434.03601967039185
53,212360907446.64,1.147250891470858e+16,2904.6657884884385,2574.9560567402264,433.80167256500056
