,Times,MoIs,a,b,c
0,212360616000.0,2.7234131469958825e+18,7500.0,7238.599961100387,1239.1304347826085
1,212360618661.084,2.7239310722708844e+18,7500.582777124388,7239.079303071781,1238.8691252060112
2,212360621322.168,2.7248083036299443e+18,7501.552952185633,7239.85419039851,1238.4118457087159
3,212360623983.252,2.725937878180174e+18,7502.794077035408,7240.817351631425,1237.8142229331017
4,212360626644.336,2.727246181765778e+18,7504.229034849537,7241.900409736995,1237.1184058630793
5,212360629305.42,2.7286821537088077e+18,7505.804753795372,7243.058659916917,1236.3546547044052
6,212360631966.504,2.73021018123397e+18,7507.484039624369,7244.262747802502,1235.5441482268654
7,212360634627.588,2.7318052992738186e+18,7509.240524423697,7245.493497395815,1234.7015376883596
8,212360637288.672,2.733449912424258e+18,7511.055338667642,7246.738524617257,1233.8369063920409
9,212360639949.756,2.735131544363357e+18,7512.914855395488,7247.9899742089765,1232.9571786029703
10,212360642610.84,2.7368412876315704e+18,7514.8091397180415,7249.242996555227,1232.0671052341113
11,212360645271.924,2.738572733089421e+18,7516.730874699009,7250.494721258993,1231.1699452966648
12,212360647933.008,2.7403212287985044e+18,7518.674613133893,7251.74356665488,1230.2679345796255
13,212360650594.092,2.742083365571111e+18,7520.636253802471,7252.988776984199,1229.3626072747438
14,212360653255.176,2.7438566187493555e+18,7522.612672971075,7254.230113839951,1228.4550164896496
15,212360655916.26,2.7456390978556687e+18,7524.601463621578,7255.467652002464,1227.545885393259
16,212360658577.344,2.7474293708772367e+18,7526.600749714453,7256.70164570902,1226.6357108141938
17,212360661238.428,2.749226340311854e+18,7528.609052955346,7257.932442231079,1225.7248342588255
18,212360663899.512,2.7510291552113587e+18,7530.6251964635485,7259.1604270576745,1224.8134906058465
19,212360666560.596,2.752837148340262e+18,7532.648234470199,7260.385990087189,1223.9018415043922
20,212360669221.68,2.754649790926005e+18,7534.677400460456,7261.609505691805,1222.9899982886543
21,212360671882.764,2.756466659790827e+18,7536.712068498143,7262.831321823971,1222.0780377049914
22,212360674543.848,2.75828741324805e+18,7538.751724086454,7264.051754884093,1221.1660127095176
