,Time,Distance
0,212360616000.0000000000000000,46999608322162.8750000000000000
1,212360659200.0000000000000000,46849956021320.4375000000000000
2,212360702400.0000000000000000,46700212192482.9296875000000000
3,212360745600.0000000000000000,46550376312645.0312500000000000
4,212360788800.0000000000000000,46400447854048.5703125000000000
5,212360832000.0000000000000000,46250426284123.9218750000000000
6,212360875200.0000000000000000,46100311065426.5625000000000000
7,212360918400.0000000000000000,45950101655578.7734375000000000
8,212360961600.0000000000000000,45799797507206.4218750000000000
9,212361004800.0000000000000000,45649398067874.6953125000000000
10,212361048000.0000000000000000,45498902780026.3593750000000000
11,212361091200.0000000000000000,45348311080913.4453125000000000
12,212361134400.0000000000000000,45197622402533.6406250000000000
13,212361177600.0000000000000000,45046836171561.1718750000000000
14,212361220800.0000000000000000,44895951809279.4453125000000000
15,212361264000.0000000000000000,44744968731510.8593750000000000
16,212361307200.0000000000000000,44593886348545.6093750000000000
17,212361350400.0000000000000000,44442704065071.3281250000000000
18,212361393600.0000000000000000,44291421280098.5937500000000000
19,212361436800.0000000000000000,44140037386887.1875000000000000
20,212361480000.0000000000000000,43988551772871.4531250000000000
21,212361523200.0000000000000000,43836963819582.0234375000000000
22,212361566400.0000000000000000,43685272902568.6953125000000000
23,212361609600.0000000000000000,43533478391321.7343750000000000
24,212361652800.0000000000000000,43381579649189.9218750000000000
25,212361696000.0000000000000000,43229576033299.1796875000000000
26,212361739200.0000000000000000,43077466894470.2343750000000000
27,212361782400.0000000000000000,42925251577132.2734375000000000
28,212361825600.0000000000000000,42772929419237.3359375000000000
29,212361868800.0000000000000000,42620499752173.5390625000000000
30,212361912000.0000000000000000,42467961900674.3828125000000000
31,212361955200.0000000000000000,42315315182729.7578125000000000
32,212361998400.0000000000000000,42162558909491.8125000000000000
33,212362041600.0000000000000000,42009692385183.5859375000000000
34,212362084800.0000000000000000,41856714907001.5781250000000000
35,212362128000.0000000000000000,41703625765019.0546875000000000
36,212362171200.0000000000000000,41550424242088.7265625000000000
37,212362214400.0000000000000000,41397109613739.9609375000000000
38,212362257600.0000000000000000,41243681148079.1093750000000000
39,212362300800.0000000000000000,41090138105683.0859375000000000
40,212362344000.0000000000000000,40936479739496.1328125000000000
41,212362387200.0000000000000000,40782705294719.4140625000000000
42,212362430400.0000000000000000,40628814008702.9921875000000000
43,212362473600.0000000000000000,40474805110834.6640625000000000
44,212362516800.0000000000000000,40320677822424.9218750000000000
45,212362560000.0000000000000000,40166431356593.1484375000000000
46,212362603200.0000000000000000,40012064918148.7031250000000000
47,212362646400.0000000000000000,39857577703472.2812500000000000
48,212362689600.0000000000000000,39702968900392.9218750000000000
49,212362732800.0000000000000000,39548237688063.7968750000000000
50,212362776000.0000000000000000,39393383236837.8593750000000000
51,212362819200.0000000000000000,39238404708137.4609375000000000
52,212362862400.0000000000000000,39083301254323.6328125000000000
53,212362905600.0000000000000000,38928072018562.7968750000000000
54,212362948800.0000000000000000,38772716134691.7343750000000000
55,212362992000.0000000000000000,38617232727078.2578125000000000
56,212363035200.0000000000000000,38461620910480.4375000000000000
57,212363078400.0000000000000000,38305879789904.1640625000000000
58,212363121600.0000000000000000,38150008460456.0390625000000000
59,212363164800.0000000000000000,37994006007194.5546875000000000
60,212363208000.0000000000000000,37837871504978.5625000000000000
61,212363251200.0000000000000000,37681604018312.9062500000000000
62,212363294400.0000000000000000,37525202601192.4140625000000000
63,212363337600.0000000000000000,37368666296937.8437500000000000
64,212363380800.0000000000000000,37211994138035.7343750000000000
65,212363424000.0000000000000000,37055185145972.3984375000000000
66,212363467200.0000000000000000,36898238331060.6171875000000000
67,212363510400.0000000000000000,36741152692269.3671875000000000
68,212363553600.0000000000000000,36583927217048.0078125000000000
69,212363596800.0000000000000000,36426560881144.5937500000000000
70,212363640000.0000000000000000,36269052648424.9140625000000000
71,212363683200.0000000000000000,36111401470683.3437500000000000
72,212363726400.0000000000000000,35953606287455.4531250000000000
73,212363769600.0000000000000000,35795666025822.0312500000000000
74,212363812800.0000000000000000,35637579600211.2500000000000000
75,212363856000.0000000000000000,35479345912198.6875000000000000
76,212363899200.0000000000000000,35320963850299.7656250000000000
77,212363942400.0000000000000000,35162432289761.7734375000000000
78,212363985600.0000000000000000,35003750092348.8125000000000000
79,212364028800.0000000000000000,34844916106125.2070312500000000
80,212364072000.0000000000000000,34685929165230.4609375000000000
81,212364115200.0000000000000000,34526788089656.4062500000000000
82,212364158400.0000000000000000,34367491685013.8164062500000000
83,212364201600.0000000000000000,34208038742295.6914062500000000
84,212364244800.0000000000000000,34048428037639.2734375000000000
85,212364288000.0000000000000000,33888658332079.0117187500000000
86,212364331200.0000000000000000,33728728371298.0429687500000000
87,212364374400.0000000000000000,33568636885370.2695312500000000
88,212364417600.0000000000000000,33408382588503.5976562500000000
89,212364460800.0000000000000000,33247964178772.4101562500000000
90,212364504000.0000000000000000,33087380337849.2695312500000000
91,212364547200.0000000000000000,32926629730725.7773437500000000
92,212364590400.0000000000000000,32765711005433.1484375000000000
93,212364633600.0000000000000000,32604622792754.6445312500000000
94,212364676800.0000000000000000,32443363705933.7226562500000000
95,212364720000.0000000000000000,32281932340374.7890625000000000
96,212364763200.0000000000000000,32120327273336.7460937500000000
97,212364806400.0000000000000000,31958547063625.2851562500000000
98,212364849600.0000000000000000,31796590251273.8945312500000000
99,212364892800.0000000000000000,31634455357223.0390625000000000
100,212364936000.0000000000000000,31472140882985.3906250000000000
101,212364979200.0000000000000000,31309645310315.1601562500000000
102,212365022400.0000000000000000,31146967100860.8164062500000000
103,212365065600.0000000000000000,30984104695817.2734375000000000
104,212365108800.0000000000000000,30821056515566.4062500000000000
105,212365152000.0000000000000000,30657820959314.4921875000000000
106,212365195200.0000000000000000,30494396404720.1835937500000000
107,212365238400.0000000000000000,30330781207513.3359375000000000
108,212365281600.0000000000000000,30166973701109.4492187500000000
109,212365324800.0000000000000000,30002972196215.6445312500000000
110,212365368000.0000000000000000,29838774980425.2968750000000000
111,212365411200.0000000000000000,29674380317809.8710937500000000
112,212365454400.0000000000000000,29509786448497.7421875000000000
113,212365497600.0000000000000000,29344991588246.8359375000000000
114,212365540800.0000000000000000,29179993928009.4179687500000000
115,212365584000.0000000000000000,29014791633489.0976562500000000
116,212365627200.0000000000000000,28849382844682.6679687500000000
117,212365670400.0000000000000000,28683765675421.6328125000000000
118,212365713600.0000000000000000,28517938212899.7148437500000000
119,212365756800.0000000000000000,28351898517192.3398437500000000
120,212365800000.0000000000000000,28185644620766.8750000000000000
121,212365843200.0000000000000000,28019174527982.4375000000000000
122,212365886400.0000000000000000,27852486214584.3242187500000000
123,212365929600.0000000000000000,27685577627181.9375000000000000
124,212365972800.0000000000000000,27518446682724.1289062500000000
125,212366016000.0000000000000000,27351091267960.4414062500000000
126,212366059200.0000000000000000,27183509238894.8554687500000000
127,212366102400.0000000000000000,27015698420228.2539062500000000
128,212366145600.0000000000000000,26847656604790.9921875000000000
129,212366188800.0000000000000000,26679381552969.1523437500000000
130,212366232000.0000000000000000,26510870992115.9296875000000000
131,212366275200.0000000000000000,26342122615956.5937500000000000
132,212366318400.0000000000000000,26173134083983.9335937500000000
133,212366361600.0000000000000000,26003903020840.5546875000000000
134,212366404800.0000000000000000,25834427015697.8125000000000000
135,212366448000.0000000000000000,25664703621620.1914062500000000
136,212366491200.0000000000000000,25494730354922.2226562500000000
137,212366534400.0000000000000000,25324504694519.7343750000000000
138,212366577600.0000000000000000,25154024081265.6093750000000000
139,212366620800.0000000000000000,24983285917286.2929687500000000
