,Times,MoIs,a,b,c
0,212360616000.0,1.9144062496591064e+16,2750.0,2650.5763168431645,454.34782608695645
1,212360618857.32,1.9144201102647028e+16,2750.0085143120673,2650.582948242941,454.34347254981077
2,212360621714.64,1.9144343690604244e+16,2750.017320536806,2650.589706940638,454.33898645601204
3,212360624571.96,1.914448639759614e+16,2750.0261393249225,2650.596465361151,454.3344964937335
4,212360627429.28,1.9144629110408556e+16,2750.034958883859,2650.6032235389093,454.33000641914305
5,212360630286.6,1.9144771825590092e+16,2750.0437785971494,2650.609981739729,454.32551634200786
6,212360633143.92,1.9144914543026544e+16,2750.0525984272126,2650.6167399901483,454.32102626562255
7,212360636001.24,1.914505726271427e+16,2750.0614183724424,2650.6234982914275,454.3165361900887
8,212360638858.56,1.914519998465323e+16,2750.0702384330157,2650.6302566433415,454.31204611540846
9,212360641715.88,1.9145342708843136e+16,2750.079058608203,2650.637015046554,454.30755604158514
10,212360644573.2,1.9145485435283356e+16,2750.087878897207,2650.643773501857,454.3030659686225
11,212360647430.52,1.91456281639742e+16,2750.0966993002567,2650.6505320090887,454.29857589651976
12,212360650287.84,1.9145770894916292e+16,2750.105519818296,2650.6572905673565,454.2940858252729
13,212360653145.16,1.914591362811005e+16,2750.114340451683,2650.664049176272,454.2895957548801
14,212360656002.48,1.9146056363554864e+16,2750.1231611996973,2650.670807836488,454.2851056853446
15,212360658859.8,1.914619910125034e+16,2750.1319820615404,2650.6775665488,454.2806156166701
16,212360661717.12,1.914634184119673e+16,2750.1408030374428,2650.6843253130437,454.2761255488559
17,212360664574.44,1.9146484583394652e+16,2750.1496241283508,2650.6910841283247,454.2716354818978
18,212360667431.76,1.914662732784444e+16,2750.158445334623,2650.6978429942533,454.2671454157942
19,212360670289.08,1.914677007454568e+16,2750.1672666555382,2650.704601911485,454.26265535054813
20,212360673146.4,1.914691282349785e+16,2750.1760880902943,2650.7113608808163,454.25816528616343
21,212360676003.72,1.914705557470116e+16,2750.1849096391225,2650.7181199020843,454.25367522263934
22,212360678861.04,1.914719832815633e+16,2750.1937313029725,2650.7248789743903,454.2491851599718
23,212360681718.36,1.9147341083863636e+16,2750.2025530822043,2650.7316380973434,454.244695098159
24,212360684575.68,1.9147483841822616e+16,2750.2113749760933,2650.7383972716016,454.24020503720413
25,212360687433.0,1.9147626602032864e+16,2750.2201969838356,2650.745156497964,454.235714977111
26,212360690290.32,1.9147769364494508e+16,2750.2290191056636,2650.751915776267,454.2312249178788
27,212360693147.64,1.914791212920834e+16,2750.2378413425295,2650.758675105609,454.2267348595035
28,212360696004.96,1.9148054896174548e+16,2750.2466636947943,2650.7654344855982,454.22224480198327
29,212360698862.28,1.9148197665392772e+16,2750.2554861617314,2650.7721939168946,454.2177547453213
30,212360844585.6,1.9155469603507976e+16,2750.7048233134237,2651.116680995525,453.98899569379626
31,212360844585.6,1.9155469603507976e+16,2750.7048233134237,2651.116680995525,453.98899569379626
32,212360847442.92,1.9155612487377076e+16,2750.7136514819745,2651.1234431093767,453.9845057618482
33,212360850300.24,1.9155755375783064e+16,2750.722480002189,2651.130205272935,453.9800157536589
34,212360853157.56,1.9155898266514216e+16,2750.731308650403,2651.1369674817893,453.97552574410514
35,212360856014.88,1.9156041159502748e+16,2750.740137414216,2651.1437297414327,453.9710357353468
36,212360858872.2,1.915618405474596e+16,2750.74896629208,2651.150492053192,453.9665457274522
37,212360861729.52,1.9156326952243976e+16,2750.7577952841884,2651.1572544169367,453.9620557204227
38,212360864586.84,1.9156469851997504e+16,2750.7666243915287,2651.164016831733,453.95756571425403
39,212360867444.16,1.915661275400687e+16,2750.7754536144753,2651.1707792971733,453.95307570894437
40,212360870301.48,1.9156755658271628e+16,2750.784282952273,2651.1775418139437,453.948585704497
41,212360873158.8,1.915689856479124e+16,2750.7931124040824,2651.184304382878,453.94409570091597
42,212360876016.12,1.9157041473565916e+16,2750.801941970146,2651.191067003805,453.9396056982004
43,212360878873.44,1.915718438459641e+16,2750.810771651457,2651.197829675785,453.93511569634603
44,212360881730.76,1.9157327297883016e+16,2750.819601448392,2651.2045923984087,453.930625695351
45,212360884588.08,1.915747021342527e+16,2750.8284313601926,2651.2113551723646,453.92613569521865
46,212360887445.4,1.915761313122272e+16,2750.8372613860174,2651.2181179984887,453.92164569595286
47,212360890302.72,1.915775605127544e+16,2750.846091526109,2651.22488087661,453.9171556975529
48,212360893160.04,1.91578989735843e+16,2750.8549217814643,2651.231643805785,453.9126657000145
49,212360896017.36,1.9158041898149572e+16,2750.863752152461,2651.2384067856033,453.90817570333576
50,212360898874.68,1.915818482497076e+16,2750.872582638339,2651.2451698167556,453.90368570752
51,212360901732.0,1.9158327754047436e+16,2750.8814132382527,2651.251932900081,453.89919571257127
52,212360904589.32,1.9158470685379692e+16,2750.8902439524463,2651.2586960354074,453.8947057184887
53,212360907446.64,1.9158613618968296e+16,2750.89907478192,2651.2654592217887,453.890215725268
54,212360910303.96,1.9158756554813644e+16,2750.9079057270524,2651.272222458813,453.88572573290725
55,212360913161.28,1.9158899492915216e+16,2750.9167367870805,2651.278985747173,453.88123574140985
56,212360916018.6,1.9159042433272464e+16,2750.925567961157,2651.285749087711,453.8767457507798
57,212360918875.92,1.915918537588562e+16,2750.9343992495265,2651.292512480254,453.8722557610162
58,212360921733.24,1.915932832075546e+16,2750.943230653192,2651.299275923853,453.86776577211486
59,212360924590.56,1.9159471267882268e+16,2750.952062172534,2651.3060394180948,453.86327578407383
60,212360927447.88,1.915961421726555e+16,2750.9608938067868,2651.312802963674,453.8587857968965
61,212361073171.2,1.916690237500925e+16,2751.4112292912255,2651.657709171288,453.6297960052377
62,212361073171.2,1.916690237500925e+16,2751.4112292912255,2651.657709171288,453.6297960052377
63,212361076028.52,1.916704543938344e+16,2751.420066646345,2651.6644754017702,453.62530614333014
64,212361078885.84,1.916718850830763e+16,2751.428904354517,2651.6712416816035,453.62081620500254
65,212361081743.16,1.916733157956185e+16,2751.437742191043,2651.678008006678,453.61632626530906
66,212361084600.48,1.9167474653078028e+16,2751.446580143413,2651.684774382568,453.61183632641615
67,212361087457.8,1.916761772885336e+16,2751.4554182100283,2651.691540810649,453.60734638839267
68,212361090315.12,1.916776080688796e+16,2751.4642563910943,2651.6983072907815,453.6028564512398
69,212361093172.44,1.9167903887182696e+16,2751.4730946876525,2651.7050738219814,453.5983665149531
70,212361096029.76,1.9168046969737776e+16,2751.4819331000976,2651.7118404038183,453.59387657953073
71,212361098887.08,1.91681900545528e+16,2751.4907716276334,2651.7186070370158,453.58938664497606
72,212361101744.4,1.916833314162715e+16,2751.4996102693744,2651.725373722453,453.58489671129325
73,212361104601.72,1.9168476230961056e+16,2751.508449025576,2651.732140459949,453.5804067784815
74,212361107459.04,1.9168619322555364e+16,2751.517287897285,2651.7389072485134,453.5759168465363
75,212361110316.36,1.9168762416410324e+16,2751.526126884899,2651.745674087714,453.5714269154557
76,212361113173.68,1.9168905512525456e+16,2751.5349659876183,2651.7524409782773,453.56693698524316
77,212361116031.0,1.9169048610900256e+16,2751.543805204555,2651.759207921085,453.56244705590285
78,212361118888.32,1.9169191711534864e+16,2751.552644535965,2651.765974915956,453.55795712743395
79,212361121745.64,1.9169334814430172e+16,2751.5614839828995,2651.7727419618964,453.5534671998319
80,212361124602.96,1.916947791958642e+16,2751.5703235457563,2651.7795090584727,453.5489772730948
81,212361127460.28,1.916962102700312e+16,2751.5791632237338,2651.7862762064133,453.5444873472261
82,212361130317.6,1.916976413667975e+16,2751.5880030159406,2651.793043406603,453.53999742223
83,212361133174.92,1.9169907248616548e+16,2751.596842922633,2651.79981065886,453.5355074981057
84,212361136032.24,1.9170050362814204e+16,2751.6056829448667,2651.806577962188,453.53101757484853
85,212361138889.56,1.9170193479273184e+16,2751.6145230830402,2651.813345316151,453.52652765245665
86,212361141746.88,1.9170336597992844e+16,2751.623363336349,2651.8201127214797,453.5220377309335
87,212361144604.2,1.9170479718972716e+16,2751.6322037038994,2651.8268801790628,453.5175478102833
88,212361147461.52,1.9170622842213068e+16,2751.6410441859484,2651.833647688718,453.51305789050525
89,212361150318.84,1.917076596771456e+16,2751.6498847835546,2651.840415249444,453.5085679715947
90,212361153176.16,1.9170909095477628e+16,2751.658725497119,2651.847182860805,453.5040780535497
91,212361156033.48,1.9171052225501708e+16,2751.667566325834,2651.8539505235335,453.4995881363738
92,212361301756.8,1.9178349591728664e+16,2752.1183705647636,2652.19906668391,453.2706019114604
93,212361301756.8,1.9178349591728664e+16,2752.1183705647636,2652.19906668391,453.2706019114604
94,212361304614.12,1.917849283697258e+16,2752.127217125794,2652.205837033703,453.26611211994884
95,212361307471.44,1.9178636086777316e+16,2752.1360640408498,2652.2126074326857,453.2616222519168
96,212361310328.76,1.917877933891688e+16,2752.144911084594,2652.219377876871,453.25713238251967
97,212361313186.08,1.917892259332297e+16,2752.1537582444253,2652.226148371899,453.25264251392844
98,212361316043.4,1.9179065849992716e+16,2752.162605518693,2652.2329189191964,453.2481526462122
99,212361318900.72,1.917920910892624e+16,2752.171452907617,2652.2396895186143,453.2436627793722
100,212361321758.04,1.917935237012441e+16,2752.1803004122958,2652.2464601691127,453.2391729134037
101,212361324615.36,1.9179495633587536e+16,2752.1891480331465,2652.253230870238,453.2346830483047
102,212361327472.68,1.9179638899315108e+16,2752.197995769328,2652.2600016227534,453.23019318407887
103,212361330330.0,1.917978216730656e+16,2752.2068436199056,2652.266772427587,453.2257033207306
104,212361333187.32,1.9179925437562092e+16,2752.2156915851483,2652.273543284549,453.22121345825894
105,212361336044.64,1.9180068710082532e+16,2752.224539666162,2652.2803141925924,453.21672359665916
